age_yrs,Lifestage,Activity_stages,no_days,mean_bpm,se_bpm,Es_perday,Es_perday_sd,Es_perday_quant025,Es_perday_quant975,Es,Es_sd,Es_quant025,Es_quant975
31,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,687.7552070137953,296.9804931473978,284.38008671532634,1361.257388913821,68775.52070137953,29698.049314739776,28438.008671532632,136125.7388913821
31,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,1001.4869425816726,350.6418249663736,458.87507251791413,1741.9185489498827,61090.70349748202,21389.151322948786,27991.379423592763,106257.03148594283
32,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,1002.3904679164464,351.05621897783095,459.1611167143802,1743.6464691788897,31074.10450540984,10882.742788312758,14233.994618145785,54053.04054454558
32,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,859.8935817571363,325.3202796273648,379.6369092556587,1571.070046497507,43854.572669613946,16591.334260995605,19361.482372038594,80124.57237137285
32,Pregnant,foraging pregnant,153,1.3396716419385846,0.01096284529578846,1888.0751528816843,511.27571613694516,962.7006317445307,2760.8070854825196,288875.4983908977,78225.18456895261,147293.1966569132,422403.48407882557
32,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,688.3748406170757,297.3067670978733,284.5579569444325,1362.6047371263364,68837.48406170758,29730.67670978733,28455.795694443248,136260.47371263363
32,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,1002.3904679164464,351.05621897783095,459.1611167143802,1743.6464691788897,61145.81854290323,21414.42935764769,28008.828119577192,106362.43461991227
33,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,1003.1540395135241,351.41786548778197,459.38796018866833,1745.1249432095908,31097.77522491925,10893.953830121241,14241.02676584872,54098.87323949732
33,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,860.5482056620465,325.6442902720856,379.82555623891903,1572.4009598626103,43887.95848876437,16607.858803876363,19371.10336818487,80192.44895299313
33,Pregnant,foraging pregnant,153,1.3396716419385846,0.01096284529578846,1889.5181870114748,511.8965549344768,963.1441554421483,2763.502269394342,289096.28261275566,78320.17290497496,147361.05578264868,422815.8472173344
