phase,age_yrs,MC_variable,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,quant975_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,Hg,sd_Hg,P_nb,mass,mass_sd,pctbodywt,pctbodywt_sd
Pregnant,53,P_cost,1768.4308827172274,2.225589196911546,1766.9701165161302,1772.2947870491405,4577.115225856353,5.76034850965342,4573.33441921822,4587.115919421305,1578.3155951228805,1.986327072294283,1577.011868695938,1581.7641101452778,71801.32207843156,0,17045.4799528212,21117.49555139767,0,7.473971481520776,0.009406073118186671
Pregnant,53,Es,1766.9390712924944,165.7517355438931,1377.194131753563,2152.974515823549,4573.2540668746915,429.0044919959586,3564.5024586562804,5572.404629190361,1576.9841609912728,147.93258344688226,1229.1387788469933,1921.518837651849,71801.32207843156,0,17045.4799528212,21117.49555139767,0,7.467666594994971,0.700521437718931
Pregnant,53,E_FnU,1771.441112173992,75.3061143702761,1652.7139496392801,1901.4125008175965,4584.906407979744,194.90994307600877,4277.61257553696,4921.302943292603,1581.0022096481875,67.2103251986237,1475.0388191506759,1697.0010149284838,71801.32207843156,0,17045.4799528212,21117.49555139767,0,7.486693702859799,0.31826844729310416
Pregnant,54,all,1770.0418959571907,183.00941950939037,1363.5422633117362,2175.8618208046937,4581.284907183317,473.6714387301868,3529.1682109244935,5631.642359729796,1580.0907044170908,165.1753949035133,1214.8704593065863,1945.3941264718253,71821.90167001274,2316.8662347514623,17039.538012401998,21117.610114876294,254.3836722563107,7.477165867006167,0.7257421138516489
Pregnant,54,Hg,1768.5194843559875,7.672059775504467,1753.7064805586006,1783.9624160344365,4577.344547744909,19.857095889540975,4539.005008504613,4617.3144885597185,1578.3946716361754,6.847274444669302,1565.1741408636597,1592.1774098481787,71821.90167001274,2316.8662347514623,17045.4799528212,21117.78560625491,0,7.474243280359226,0.032424206649020994
Pregnant,54,P_nb,1768.4692677907638,3.283489451551503,1762.7994972793626,1775.4173003134536,4577.214575458447,8.498443286368598,4562.539875311291,4595.197718458351,1578.3498536063612,2.93049768495469,1573.2896121763074,1584.5509373994312,71801.32207843156,0,17050.17082229927,21117.78560625491,0,7.474031051526857,0.013876917493123435
Pregnant,54,P_cost,1768.4544367551453,2.2266467468103244,1766.9960473970946,1772.3171770114777,4577.176189248611,5.763085697626721,4573.401534439538,4587.173869912061,1578.3366169822798,1.987270930216111,1577.035011875703,1581.7840930731243,71801.32207843156,0,17045.4799528212,21117.78560625491,0,7.4739683715454985,0.009410413417718843
Pregnant,54,Es,1766.9625969884182,165.75713089892346,1377.2093925758975,2153.005186340858,4573.3149569112,429.0184564442725,3564.5419572552637,5572.48401170575,1577.0051575555863,147.93739877388708,1229.152399053539,1921.5462109330174,71801.32207843156,0,17045.4799528212,21117.78560625491,0,7.46766345183697,0.7005346182227992
Pregnant,54,E_FnU,1771.4647045787572,75.30714481299111,1652.7354690816503,1901.4383371063614,4584.96747067443,194.9126101042123,4277.6682729172135,4921.369813687053,1581.0232657498036,67.21124486352149,1475.0580251438669,1697.0240736851906,71801.32207843156,0,17045.4799528212,21117.78560625491,0,7.486690580292271,0.31826843077530853
Pregnant,55,all,1770.0613692415277,183.01280955163887,1363.551441436229,2175.8917689443715,4581.335308625131,473.680212957183,3529.1919660702397,5631.719872561905,1580.1080885738197,165.17843591107302,1214.8836534119368,1945.4148546925655,71821.90167001274,2316.8662347514623,17039.538012401998,21117.852286636746,254.4747633308576,7.477160894409739,0.7257289707883133
