phase,age_yrs,MC_variable,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,quant975_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,Hg,sd_Hg,P_nb,GERcalf_0to6m,mass,mass_sd,pctbodywt,pctbodywt_sd
Pregnant,23,Es,2063.021368638587,231.47426438611686,1602.8006467400214,2517.3160806958635,5339.584718829284,599.1098607640671,4148.425203327113,6515.406326506943,1841.2361099411323,206.58960716002315,1430.4914494231425,2246.691836726532,71801.32207843156,0,17045.4799528212,100760.936763343,20732.22535467552,0,8.881034613710186,0.996466146908022
Pregnant,23,E_FnU,2066.693265788333,87.82504296835147,1928.0396979780623,2218.5021999393384,5349.088452628626,227.31187591808617,4990.220394766749,5742.005693960641,1844.5132595271127,78.38340548899524,1720.7656533678448,1980.001963434704,71801.32207843156,0,17045.4799528212,100760.936763343,20732.22535467552,0,8.896841646143592,0.37807521454187865
Pregnant,24,all,2071.0343218700064,250.90044973649822,1583.6312286353752,2569.9840564232322,5360.324127192957,649.3893993179954,4098.81023882097,6651.723440154247,1848.805343364289,225.93901878306536,1413.4519975335527,2300.072575730699,71821.90167001274,2316.8662347514623,17039.538012401998,100761.62710366643,20795.49603394038,203.53354769409927,8.881385004853076,1.0062918097037585
Pregnant,24,Hg,2067.60332962579,7.322493504353494,2053.3844757863003,2082.043555062388,5351.443911972634,18.952336128914926,5314.642172623365,5388.8186131026505,1845.3254868871152,6.53528832031549,1832.6352319390915,1858.213314862983,71821.90167001274,2316.8662347514623,17045.4799528212,100760.936763343,20795.63644540061,0,8.873618711944964,0.0314262481817954
Pregnant,24,GER_calf,2067.5382874911106,0,2067.5382874911106,2067.5382874911106,5351.27556762405,0,5351.27556762405,5351.27556762405,1845.2674371117416,0,1845.2674371117416,1845.2674371117416,71801.32207843156,0,17045.4799528212,100760.936763343,20795.63644540061,0,8.873339567925852,0
Pregnant,24,P_nb,2067.5531130605664,2.3938753216721773,2062.88654645766,2072.2556191332146,5351.3139396861725,6.195912597269161,5339.235767302179,5363.485131874202,1845.280668857301,2.1365215852652275,1841.1157818283377,1849.4776316807593,71801.32207843156,0,17050.17082229927,100760.936763343,20795.63644540061,0,8.873403195435372,0.010273893712629137
Pregnant,24,P_cost,2067.5379577576414,0.47796542197616404,2066.587659493911,2068.476019551793,5351.274714196248,1.237086974526537,5348.815118690122,5353.702638839935,1845.2671428262925,0.42658171535397854,1844.4190064448696,1846.1043582206673,71801.32207843156,0,17045.4799528212,100760.936763343,20795.63644540061,0,8.873338152795087,0.0020513039669354484
Pregnant,24,Es,2067.3778002171075,232.63446006694878,1604.850359274884,2523.949528961969,5350.860188797219,602.1127201732793,4153.730341652641,6532.575251430979,1845.124203033524,207.6250759218204,1432.320807466428,2252.612155665855,71801.32207843156,0,17045.4799528212,100760.936763343,20795.63644540061,0,8.872650798055338,0.9984069324684749
Pregnant,24,E_FnU,2071.057915186405,88.01052067192411,1932.111524913652,2223.187454617368,5360.385192247166,227.79193585674474,5000.759240952982,5754.132235480246,1848.4086869817813,78.54894339887751,1724.3997382596488,1984.183529475947,71801.32207843156,0,17045.4799528212,100760.936763343,20795.63644540061,0,8.888444899653916,0.3777183910918497
Pregnant,25,all,2074.679338680514,251.80874204685313,1585.3444039538206,2575.3002814365964,5369.758288349565,651.7402735330315,4103.244339645184,6665.483081365308,1852.0593270326224,226.7504744557551,1414.9015437600312,2305.0938524718767,71821.90167001274,2316.8662347514623,17039.538012401998,100761.62710366643,20848.55522584018,209.24119053313783,8.874145146452587,1.0054407164372412
Pregnant,25,Hg,2071.242418109932,7.322493504353489,2057.023564270442,2085.682643546529,5360.862729225705,18.952336128914922,5324.060989876438,5398.237430355722,1848.5733549054157,6.535288320315491,1835.8830999573925,1861.4611828812833,71821.90167001274,2316.8662347514623,17045.4799528212,100760.936763343,20848.699574825572,0,8.86661227128782,0.03134626357322896
Pregnant,25,GER_calf,2071.177375975252,0,2071.177375975252,2071.177375975252,5360.6943848771225,0,5360.6943848771225,5360.6943848771225,1848.5153051300424,0,1848.5153051300424,1848.5153051300424,71801.32207843156,0,17045.4799528212,100760.936763343,20848.699574825572,0,8.866333837732936,0
Pregnant,25,P_nb,2071.192201544708,2.3938753216721773,2066.5256349418014,2075.894707617356,5360.732756939244,6.195912597269164,5348.65458455525,5372.903949127273,1848.5285368756013,2.136521585265229,1844.363649846638,1852.72549969906,71801.32207843156,0,17050.17082229927,100760.936763343,20848.699574825572,0,8.866397303300712,0.01024774508164069
Pregnant,25,P_cost,2071.1770922985725,0.4112037640422901,2070.3595305984118,2071.9841267050883,5360.693650655129,1.0642920951682746,5358.577608607654,5362.78244558964,1848.5150519500446,0.3669972741959565,1847.7853822785014,1849.235326065393,71801.32207843156,0,17045.4799528212,100760.936763343,20848.699574825572,0,8.86633262336464,0.0017602885632209792
Pregnant,25,Es,2071.0162165888123,233.60872120213176,1606.5517345498572,2529.5000442145165,5360.277266465161,604.6343372290469,4158.133901187866,6546.941290908161,1848.3714711948833,208.49459904449895,1433.839276271678,2257.5659623821243,71801.32207843156,0,17045.4799528212,100760.936763343,20848.699574825572,0,8.865643943695934,1.000036468923234
Pregnant,25,E_FnU,2074.7031985916715,88.16542859996501,1935.5122478134065,2227.100502280443,5369.820043413738,228.19287402343886,5009.56111198764,5764.260123549382,1851.6620839357718,78.68719793911684,1727.4348662026343,1987.6759046722009,71801.32207843156,0,17045.4799528212,100760.936763343,20848.699574825572,0,8.881427243412439,0.37742017269091555
Pregnant,26,all,2077.8087372283735,252.67074633561194,1586.6214176519297,2580.0889358009745,5377.857908120495,653.9713434568779,4106.5495515697,6677.877245602523,1854.853023240851,227.5200346883997,1416.0530116852592,2309.4406190614914,71821.90167001274,2316.8662347514623,17039.538012401998,100761.62710366643,20892.945611738243,214.44511798521256,8.868436420418657,1.0049938932412623
Pregnant,26,Hg,2074.3667525580827,7.322493504353489,2060.1478987185924,2088.80697799468,5368.949241915037,18.952336128914915,5332.14750256577,5406.323943045055,1851.3618075569095,6.535288320315488,1838.6715526088865,1864.2496355327776,71821.90167001274,2316.8662347514623,17045.4799528212,100760.936763343,20893.09355075123,0,8.861118642195244,0.031279658536160174
Pregnant,26,GER_calf,2074.301710423403,0,2074.301710423403,2074.301710423403,5368.780897566456,0,5368.780897566456,5368.780897566456,1851.3037577815364,0,1851.3037577815364,1851.3037577815364,71801.32207843156,0,17045.4799528212,100760.936763343,20893.09355075123,0,8.860840800260386,0
