Lifestage,age_yrs,mean_GER,GER_sd,GER_foraging,sd_foraging,FR_foraging,FR_sd_foraging,pctbodywt,pctbodywt_sd
Juvenile/Adult,24,1299.7051150311963,154.60898957434145,3080.4699154960176,366.4433843807443,1061.2368092583172,116.75416921005598,5.346592862577298,0.5572957013820358
Juvenile/Adult,25,1302.9817141124877,155.08841798325398,3088.2358808510257,367.57969197329675,1063.9112323354725,117.11865737480568,5.346094518838408,0.5568442692962424
Juvenile/Adult,26,1305.7303534300142,155.5225793990203,3094.75051299971,368.6087109132624,1066.154199143919,117.4478840628368,5.345700196578917,0.5565177676454242
Juvenile/Adult,27,1308.028128815224,155.88255342515214,3100.1965390750443,369.4618961050683,1068.029298909126,117.72094944824156,5.345362435039435,0.556178860898742
Juvenile/Adult,28,1309.95209910919,156.19725880582618,3104.7565985380147,370.2077887280945,1069.599136892967,117.95935824458036,5.345082026656656,0.5558647904844985
Juvenile/Adult,29,1311.5615809915066,156.4457412225862,3108.571279622727,370.7967243262595,1070.9126236201344,118.14796759359392,5.344854238688849,0.5555469147839541
Juvenile/Adult,30,1312.9061580579728,156.66151689291675,3111.7581018906494,371.30814068775726,1072.0097854155908,118.3115502556783,5.344655331931591,0.5552621993092921
Pregnant only,8,1460.6697388668624,151.5307893619351,3780.5569711848207,392.19733717206736,1303.9302349938953,136.8672535740111,8.222706928968453,0.7950671540241889
Pregnant only,9,1514.407650351463,159.57572992762135,3919.6433303214335,413.0195362832552,1351.902100033344,144.087056072721,8.116024974203327,0.8016676190732676
Pregnant only,10,1560.4504568663397,166.64662504846,4038.8129471834673,431.3206765960141,1393.0045748897812,150.4309346589311,8.031031917978563,0.8086618807412477
Pregnant only,11,1599.6496913570084,172.60149995170934,4140.26978939461,446.7332939926595,1427.9977384200208,155.77426310453765,7.962399260097839,0.8145674209079331
Pregnant only,12,1632.9642431662332,177.60544301499257,4226.4956881949565,459.68467603880424,1457.7376240187168,160.26511805010728,7.906886078632393,0.8193538763400912
Pregnant only,13,1661.178837803869,181.78012898045105,4299.521697845309,470.48974559646155,1482.924756299603,164.01251161500866,7.861650755415735,0.822968923890909
Pregnant only,14,1685.0530516388285,185.2915595944709,4361.313780712262,479.5781542445129,1504.237234577283,167.16492062406573,7.824772419673236,0.8256259940532036
Pregnant only,15,1705.2097762866024,188.18039815913193,4413.484126859441,487.0551481765767,1522.2310974059706,169.75936529624715,7.794523418602191,0.8267631164248472
Pregnant only,16,1722.2339963139682,190.77147987996275,4457.5468139890945,493.7614773363742,1537.4286314180088,172.08477848112088,7.769804990290558,0.8279867853554274
Pregnant only,17,1736.5796328798308,193.10915290007983,4494.676696865445,499.8119251531478,1550.23503883867,174.18114439303395,7.749448923091681,0.8288839156442463
Pregnant only,18,1748.6677710640008,195.15430168650195,4525.963642753884,505.1052514238874,1561.0261966108403,176.0145416527312,7.732729923029544,0.8294726961092876
Pregnant only,19,1758.866274554016,196.98120945462253,4552.359769433923,509.8337185884348,1570.1305045318209,177.65146463055663,7.719049856088949,0.8298034684067384
Pregnant only,20,1767.4343168289367,198.47542750399208,4574.535878851366,513.7011064809207,1577.7792758887674,178.99076417835315,7.707738307545409,0.8295681115470332
Pregnant only,21,1774.6445345980258,199.739955374814,4593.197618959596,516.9740021465774,1584.2159135823115,180.1242314922391,7.698451049925515,0.8291822852134768
Pregnant only,22,1780.6993706915948,200.85713204220195,4608.868959437069,519.8655182268756,1589.6211483335562,181.12513175134927,7.690756786845593,0.8287096852731969
Pregnant only,23,1785.7925894337204,201.76910978915177,4622.0514079461,522.225931218981,1594.1679327691456,181.94254660155633,7.684445399917614,0.8280570307273948
Pregnant only,24,1790.0664545421369,202.57743692408465,4633.113176462001,524.3180720388073,1597.9832836336952,182.6666777210112,7.679209307473351,0.8274099189109342
Pregnant only,25,1793.6420417843117,203.189474348105,4642.367637559394,525.9021689009777,1601.1752533923527,183.21557616830148,7.674849842001961,0.8265827888942932
Pregnant only,26,1796.657831105054,203.7509109427033,4650.173209918963,527.3552989105262,1603.867503101542,183.71871198160727,7.671312901716771,0.8259928438547645
Pregnant only,27,1799.1768423491958,204.2156416061885,4656.6930037273305,528.5581312160173,1606.1162684029746,184.1352192307624,7.668343609996002,0.8253875544417796
Pregnant only,28,1801.2918057317136,204.6246936257471,4662.167026599729,529.6168540901691,1608.0043404396158,184.50167360908085,7.665891752017979,0.8248367689475717
Pregnant only,29,1803.0636451621049,204.94182759845737,4666.752963948977,530.4376714313014,1609.5860928856066,184.7860378234143,7.663864187878819,0.824267285631038
