phase,age_yrs,MC_variable,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,quant975_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,GERcalf7to9.6mths,mass,mass_sd,pctbodywt,pctbodywt_sd
Lactating,16,P_cost,1436.9587801733305,2.704806459349346,1431.6702285052504,1442.3394661180835,4407.478611456014,8.296255106407662,4391.257423566525,4423.982396076475,1519.8202108469013,2.860777622899194,1514.2266977815602,1525.5111710608535,78807.66401545325,18846.663912909844,0,8.064133885285843,0.01517922554420668
Lactating,16,Es,1435.9327799253992,113.04219700110981,1170.4926043584192,1698.6134230914895,4404.331635905636,346.7260664319755,3590.1663915195204,5210.0327683058285,1518.7350468640125,119.56071256275017,1237.9884108688002,1796.5630235537342,78807.66401545325,18846.663912909844,0,8.058376028150471,0.6343866114196044
Lactating,16,GERcalf,1436.9604813775802,1.1369312415587933,1436.1775497572507,1438.9249049475688,4407.483829435436,3.4872260770499803,4405.0824005159375,4413.50916223414,1519.8220101501502,1.202491750706953,1518.9939312123922,1521.8997111152207,78807.66401545325,18846.663912909844,0,8.064143432350814,0.006380395789215625
Lactating,16,E_FnU,1439.4065495416255,61.1763756376462,1342.8353430290574,1545.0418243167137,4414.986475484818,187.64182443479717,4118.780673996689,4738.993830887398,1522.4091294775235,64.70407739130937,1420.2691979298927,1634.1358037542755,78807.66401545325,18846.663912909844,0,8.077870632768503,0.34331846575237907
Lactating,17,all,1450.1725088538528,131.9683302262577,1162.80745880966,1739.6534922631554,4448.00811539207,404.7768111981854,3566.5943064329913,5335.911972067663,1534.120340436191,141.54842223050144,1228.4295209449076,1842.474318637747,78807.66401545325,19057.66679204026,160.54495567417243,8.046459465344114,0.7008944671854288
Lactating,17,P_cost,1448.7287064493166,2.3667399547494625,1444.158069585169,1453.5366321677268,4443.579645831937,7.259328432634908,4429.560465534341,4458.326644884203,1532.2688433903234,2.5032167009085895,1527.4346432877041,1537.3540154773113,78807.66401545325,19057.66679204026,0,8.04017018510524,0.013134958902493235
Lactating,17,Es,1447.6892268367899,114.47771021992696,1178.8996276479668,1713.7477645637093,4440.3913260120025,351.1291111787676,3615.952639424436,5256.4532274433095,1531.1694227627595,121.07900385474746,1246.880220491185,1812.5700784287276,78807.66401545325,19057.66679204026,0,8.034401269951246,0.6353296296759582
Lactating,17,GERcalf,1448.7301444120455,1.1426865952104974,1447.9422575053086,1450.7044373371614,4443.584056389887,3.504879052536264,4441.1674284826695,4449.639660740033,1532.2703642723752,1.2085789836332297,1531.4370443043688,1534.3585037034597,78807.66401545325,19057.66679204026,0,8.040178165526287,0.0063416943785474566
Lactating,17,E_FnU,1451.1962479893757,61.67739584807745,1353.8282533350173,1557.694950794482,4451.148155597665,189.1785670970443,4152.498424094801,4777.803840672151,1534.8786743440226,65.23398865415321,1431.8960083085522,1647.5185657490176,78807.66401545325,19057.66679204026,0,8.053864573732023,0.3422978760516435
Lactating,18,all,1460.1158248955176,133.06423911716618,1170.238245445225,1752.005033201107,4478.506521738352,408.1382124181988,3589.386215021069,5373.796950574823,1544.639246118146,142.71835834723603,1236.3918382968793,1855.597219858648,78807.66401545325,19235.108619679897,164.60950728680126,8.026848756032157,0.6996561936086713
Lactating,18,P_cost,1458.6661800250795,2.1051520161666044,1454.6732111907634,1463.0091877217694,4474.060132009698,6.45697887311606,4461.812790627131,4487.381122003746,1542.779355865413,2.226544439005538,1538.5561346990105,1547.372800690947,78807.66401545325,19235.108619679897,0,8.020642806700653,0.011575419110072026
Lactating,18,Es,1457.6153322023047,115.72350860533037,1185.8774653706134,1726.523557082366,4470.83694330959,354.9502574869377,3637.3552509266724,5295.639481807257,1541.6679114860656,122.39664051273714,1254.2604313540248,1826.0825799335366,78807.66401545325,19235.108619679897,0,8.014864599770174,0.636318946426485
Lactating,18,GERcalf,1458.667398155486,1.1645350481600951,1457.8655302668592,1460.679521869433,4474.063868292036,3.571893214944881,4471.604357541207,4480.235508254984,1542.7806442386332,1.2316873154982784,1541.9325370831748,1544.9087959499946,78807.66401545325,19235.108619679897,0,8.020649504729999,0.0064033291407467
Lactating,18,E_FnU,1461.150415936926,62.100686929054035,1363.1372145001067,1568.3756954460616,4481.679847201495,190.47689688323297,4181.05112010537,4810.5641078807785,1545.4068438625848,65.68168858042516,1441.7417655535758,1658.8152096140614,78807.66401545325,19235.108619679897,0,8.034302661963874,0.3414677290318218
Lactating,19,all,1468.5524956411568,134.04387366224123,1176.50050184961,1762.4845877982375,4504.383705117834,411.14297383796674,3608.593976261408,5405.940122238292,1553.5643217164031,143.76337949516017,1242.997714479287,1866.772914587088,78807.66401545325,19384.1694975783,170.4856677048876,8.011063638313173,0.6983402257713675
Lactating,19,P_cost,1467.0978049981234,1.9241278994259445,1463.5602967031991,1471.1226268878586,4499.92183885979,5.9017368343737,4489.071498291325,4512.26688079049,1551.6971858137208,2.035081667025414,1547.9556890659742,1555.954096824307,78807.66401545325,19384.1694975783,0,8.00497120089451,0.010498678662914401
Lactating,19,Es,1466.0373772636317,116.82442508838292,1191.636533899703,1737.3472503371968,4496.669266396853,358.32701812823336,3655.0196207848035,5328.838204815771,1550.5756091023634,123.56104073387357,1260.3515933740703,1837.5304154537143,78807.66401545325,19384.1694975783,0,7.999185156197069,0.6374327295750808
