age_yrs,Lifestage,no_days,MC_variable,Es,Es_sd,Es_perday,Es_perday_sd
28,Lactating,365,Rs,357566.50106120063,436.3638942713693,979.6342494827414,1.1955175185516966
28,Lactating,365,Vt,357563.657009254,2322.5443399717883,979.6264575596,6.3631351780048995
28,Lactating,365,pctO2,357505.3879213279,48605.974310439815,979.4668162228162,133.16705290531456
29,Lactating,365,all,359046.02467307594,50990.21065258677,983.687738830345,139.699207267361
29,Lactating,365,Rs,358080.2395751859,436.99084600743635,981.0417522607833,1.1972351945409214
29,Lactating,365,Vt,358077.3416958386,2365.081231913486,981.0338128653112,6.479674607982154
29,Lactating,365,pctO2,358019.0386301816,48675.80960244548,980.8740784388536,133.35838247245337
30,Lactating,365,all,359490.635024806,51083.07039907501,984.9058493830302,139.95361753171235
30,Lactating,365,Rs,358509.6576077698,437.5148954483448,982.2182400212872,1.1986709464338214
30,Lactating,365,Vt,358506.71665267297,2399.1423089003138,982.2101826100628,6.5729926271241474
30,Lactating,365,pctO2,358448.3832691892,48734.182749253894,982.0503651210664,133.51830890206546
