age_yrs,fit,mean,sd,median,median_abs_dev,2.5%,97.5%,length_plus_sd,length_minus_sd,female_length,male_length
65.55,12.816098374429329,12.816088988482012,0.05559699847863005,12.816931215010484,0.05485051652676242,12.704385246041412,12.92310779710223,12.87169537290796,12.760501375950698,13.190890000031905,12.644505651173535
65.60000000000001,12.816098717446032,12.816089425512287,0.05559745865125504,12.816576944485451,0.05557824499729235,12.706251542751303,12.9240918924867,12.871696176097286,12.760501258794777,13.190890449842943,12.644506082352796
65.65,12.816099057387742,12.816089806996903,0.055597103179663765,12.816106596235944,0.054793471077764125,12.707633865331891,12.925357509401705,12.871696160567407,12.760501954208078,13.190890842483912,12.644506458730051
65.7,12.816099394282023,12.816090300541978,0.05559801795491472,12.816632327038768,0.05620841928226279,12.70698797718318,12.923001433041879,12.871697412236939,12.760501376327108,13.1908913504625,12.644506945667485
65.75,12.816099728156196,12.816090591629102,0.05559771387947214,12.816756987308246,0.0556283346729276,12.709168794946923,12.925097044851421,12.871697442035668,12.760502014276724,13.190891650062342,12.644507232857501
65.8,12.816100059037334,12.816090862819435,0.05559733984094082,12.816005708125113,0.05633232444785543,12.707398254022104,12.923321595480436,12.871697398878274,12.760502719196394,13.19089192918352,12.644507500417104
65.85000000000001,12.816100386952266,12.816091293087464,0.055597532162558555,12.81587599980644,0.05572113349910886,12.70897335947401,12.925577168919489,12.871697919114824,12.760502854789708,13.190892372034552,12.644507924924653
65.9,12.816100711927586,12.816091800466541,0.055598383887212596,12.816281228544216,0.0567309989470344,12.706106262723871,12.924750618362374,12.8716990958148,12.760502328040372,13.190892894251713,12.644508425510878
65.95,12.816101033989645,12.816092193906632,0.05559847246670219,12.817044685129085,0.05582028184467735,12.707761068191031,12.924425475079076,12.871699506456347,12.760502561522943,13.190893299197791,12.644508813683547
66,12.816101353164557,12.81609261697699,0.05559879701225824,12.815592551586136,0.05531500794764237,12.708346620354797,12.925133651875319,12.871700150176816,12.760502556152298,13.190893734640659,12.644509231089788
66.05,12.81610166947821,12.816093026738702,0.05559920131668039,12.816785351792754,0.05474894170312221,12.706140377151979,12.924561814944944,12.87170087079489,12.76050246816153,13.190894156385676,12.644509635365562
66.10000000000001,12.816101982956246,12.816093293405507,0.05559870437668888,12.81547456133681,0.05596783901969668,12.70801212288115,12.925497210003375,12.871700687332934,12.760503278579558,13.190894430851037,12.644509898462198
66.15,12.816102293624091,12.81609371724997,0.05559908373172375,12.815666300974554,0.05511122826305986,12.706222390260058,12.925415720399688,12.871701377355816,12.760503209892367,13.190894867090648,12.644510316632182
66.2,12.816102601506934,12.81609406043223,0.055599346832172804,12.815883383678829,0.05575407016220169,12.70810027288658,12.925567478305398,12.871701948339107,12.760503254674761,13.190895220309125,12.644510655219875
66.25,12.816102906629744,12.816094461931812,0.05559958319957975,12.816179488430869,0.05525079245060011,12.706554127318277,12.922333349071543,12.871702489829325,12.760503323430164,13.19089563355039,12.644511051344132
66.3,12.816103209017262,12.816094737957346,0.05559933495852231,12.815297855141829,0.05607096130137749,12.709516821129835,12.925699394771609,12.871702543975784,12.76050387405874,13.190895917648174,12.644511323674205
66.35000000000001,12.816103508694006,12.816095127075918,0.0555994854669083,12.815463959357094,0.055360033022149216,12.707952741688933,12.927250997821783,12.871702994160914,12.760504023227098,13.19089631814635,12.644511707583211
66.4,12.816103805684284,12.816095521092109,0.05559989344181654,12.81667959270931,0.05512749042082728,12.706648732217321,12.924526655211185,12.871703699126101,12.760503912242466,13.190896723685375,12.644512096324265
66.45,12.816104100012172,12.816095827452392,0.05559990005636792,12.816153341059643,0.05509279555095311,12.70605542910763,12.925358616761974,12.87170400006854,12.760504199955804,13.190897039005034,12.64451239858296
66.5,12.81610439170154,12.816096221347875,0.05560015594531834,12.815891401259908,0.05526827835618868,12.706956938086334,12.9256854727009,12.871704547646859,12.76050423575622,13.19089744441982,12.644512787204922
66.55,12.81610468077604,12.81609657548142,0.055600319772933754,12.81630149747003,0.055940874344145165,12.708217136285175,12.92561635758222,12.871705000548973,12.760504361003106,13.190897808909849,12.644513136597286
66.60000000000001,12.816104967259115,12.81609685751957,0.055600014210361634,12.815346176092355,0.05636246808400962,12.708550308160156,12.924727220190684,12.871704981469476,12.760504953048754,13.190898099196083,12.644513414859475
66.65,12.816105251173996,12.816097252894272,0.055600638262522754,12.815716098885236,0.05630004899824433,12.707722328217473,12.923286864294953,12.871705889436518,12.760504612911474,13.190898506133347,12.644513804940853
