age_yrs,Lifestage,no_days,MC_variable,Es,Es_sd,Es_perday,Es_sd_perday
23,Juvenile/Adult,365,pctO2,376838.9598967988,57483.31466275446,1032.435506566572,157.48853332261496
24,Juvenile/Adult,365,all,379308.4545808356,60430.078869337674,1039.2012454269468,165.56185991599364
24,Juvenile/Adult,365,Rs,378291.298120203,476.71479830206573,1036.4145153978166,1.3060679405536046
24,Juvenile/Adult,365,Vt,378288.2465131914,2787.9404926108346,1036.4061548306613,7.6381931304406425
24,Juvenile/Adult,365,pctO2,378226.73414950765,57695.00685103345,1036.2376278068703,158.0685119206396
25,Juvenile/Adult,365,all,380501.66289958335,60683.155949926615,1042.470309313927,166.25522178062087
25,Juvenile/Adult,365,Rs,379454.87017419026,478.18110751875344,1039.6023840388775,1.3100852260787765
25,Juvenile/Adult,365,Vt,379451.7344010215,2862.862351960269,1039.593792879511,7.843458498521285
25,Juvenile/Adult,365,pctO2,379390.1076135924,57872.468764537814,1039.4249523660067,158.5547089439392
26,Juvenile/Adult,365,all,381520.0588293588,60917.73791478147,1045.260435148928,166.8979120952917
26,Juvenile/Adult,365,Rs,380440.1757540308,479.422769045449,1042.3018513809063,1.3134870384806823
26,Juvenile/Adult,365,Vt,380436.9461563271,2946.369503225811,1042.2930031680194,8.07224521431729
26,Juvenile/Adult,365,pctO2,380375.2450287384,58022.74240937645,1042.123958982845,158.96641755993548
27,Juvenile/Adult,365,all,382369.5480141173,61111.475590215516,1047.5878027784036,167.4287002471658
27,Juvenile/Adult,365,Rs,381262.87924889545,480.45952281844285,1044.5558335586177,1.3163274597765557
27,Juvenile/Adult,365,Vt,381259.5736908216,3014.0211256310704,1044.5467772351276,8.25759212501663
27,Juvenile/Adult,365,pctO2,381197.808110634,58148.21683611703,1044.3775564674904,159.3101831126494
28,Juvenile/Adult,365,all,383087.67873270693,61281.69916198165,1049.555284199197,167.89506619720999
28,Juvenile/Adult,365,Rs,381955.6646570922,481.33255653023116,1046.4538757728553,1.3187193329595375
28,Juvenile/Adult,365,Vt,381952.2872646098,3078.011142642396,1046.4446226427667,8.432907240116153
28,Juvenile/Adult,365,pctO2,381890.47527932323,58253.87683694398,1046.2752747378718,159.5996625669698
29,Juvenile/Adult,365,all,383692.555261055,61428.047808462594,1051.212480167274,168.2960213930482
29,Juvenile/Adult,365,Rs,382537.94877668127,482.0663388244677,1048.0491747306337,1.3207296954095007
29,Juvenile/Adult,365,Vt,382534.5073691174,3135.052403831404,1048.03974621676,8.589184668031244
29,Juvenile/Adult,365,pctO2,382472.6600189503,58342.68376016923,1047.8703014217817,159.8429692059431
30,Juvenile/Adult,365,all,384196.744451041,61548.24371975488,1052.5938204138108,168.62532525960242
30,Juvenile/Adult,365,Rs,383024.05945541116,482.67892535583866,1049.3809848093456,1.3224080146735306
30,Juvenile/Adult,365,Vt,383020.56681308366,3180.724743219061,1049.3714159262565,8.714314364983728
30,Juvenile/Adult,365,pctO2,382958.68773189234,58416.82281406513,1049.2018841969652,160.0460899015483
31,Juvenile/Adult,365,all,384630.2414838041,61662.60614724661,1053.7814835172715,168.93864697875784
31,Juvenile/Adult,365,Rs,383437.3915922586,483.19979788774214,1050.5134016226264,1.3238350627061428
31,Juvenile/Adult,365,Vt,383433.84186437546,3231.603637499421,1050.5036763407547,8.853708595888824
31,Juvenile/Adult,365,pctO2,383371.9493242569,58479.86206605338,1050.3341077376901,160.21880018096815
