age_yrs,Lifestage,no_days,MC_variable,Es,Es_sd,Es_perday,Es_perday_sd
16,Pregnant,396,Rs,434320.91168258106,4255.085942437874,1096.7699789964167,10.745166521307763
16,Pregnant,396,Vt,435259.85556190927,5076.462225302471,1099.1410493987607,12.819349053794118
16,Pregnant,396,pctO2,460498.4356736916,74222.93386184599,1162.8748375598273,187.43165116627776
17,Pregnant,396,all,468548.8600170749,78045.70889125299,1183.2041919623105,197.08512346276007
17,Pregnant,396,Rs,439869.24565407855,4309.443532070406,1110.7809233688852,10.882433161793955
17,Pregnant,396,Vt,440813.199764688,5130.591614984625,1113.1646458704242,12.956039431779356
17,Pregnant,396,pctO2,466381.18054216134,75171.11207369975,1177.7302538943468,189.82604059015088
18,Pregnant,396,all,473541.90433834796,78897.74255340562,1195.812889743303,199.23672361971117
18,Pregnant,396,Rs,444540.22607691435,4355.20560016336,1122.5763284770564,10.997993939806465
18,Pregnant,396,Vt,445501.8310490238,5196.783034881149,1125.0046238611712,13.123189482023104
18,Pregnant,396,pctO2,471333.6917381922,75969.3556343218,1190.2365952984653,191.84180715737827
19,Pregnant,396,all,477784.5059306116,79672.91126988275,1206.526530127807,201.1942203784918
19,Pregnant,396,Rs,448467.8036206069,4393.684474987177,1132.494453587391,11.095162815624185
19,Pregnant,396,Vt,449463.5056524252,5282.453127804683,1135.0088526576394,13.339528100516878
19,Pregnant,396,pctO2,475497.9934473841,76640.55593903063,1200.7525087055153,193.53675742179453
20,Pregnant,396,all,481360.7069618967,80341.47862955555,1215.5573408128705,202.88252179180697
20,Pregnant,396,Rs,451766.22071547515,4425.99940119761,1140.8237896855433,11.176766164640428
20,Pregnant,396,Vt,452796.3162909743,5364.080133418073,1143.425041138824,13.545656902570892
20,Pregnant,396,pctO2,478995.21375506365,77204.23635895965,1209.5838731188476,194.96019282565567
21,Pregnant,396,all,484386.6632400879,80935.7520727113,1223.1986445456766,204.38321230482651
21,Pregnant,396,Rs,454534.0552806534,4453.1161566484525,1147.813270910741,11.245242819819325
21,Pregnant,396,Vt,455603.90814555465,5450.808858832213,1150.5149195594815,13.764668835434883
21,Pregnant,396,pctO2,481929.87209912157,77677.24329080615,1216.9946265129333,196.154654774763
22,Pregnant,396,all,486936.6116946396,81451.08114110716,1229.637908319797,205.6845483361292
22,Pregnant,396,Rs,456854.749312248,4475.852231023235,1153.6736093743637,11.302657149048573
22,Pregnant,396,Vt,457963.52463260817,5533.611250612995,1156.4735470520409,13.97376578437625
22,Pregnant,396,pctO2,484390.4397173983,78073.83648949266,1223.2081811045412,197.1561527512441
23,Pregnant,396,all,489093.9850372794,81910.14248845744,1235.0858208012105,206.8437941627713
23,Pregnant,396,Rs,458799.53828605375,4494.905525490199,1158.58469264155,11.350771529015653
23,Pregnant,396,Vt,459949.8430370268,5618.852446804229,1161.4895026187546,14.18902133031371
23,Pregnant,396,pctO2,486452.44561226404,78406.18968616193,1228.4152666976365,197.9954285004089
24,Pregnant,396,all,490910.1522303347,82307.06316853577,1239.6721015917542,207.84611911246407
24,Pregnant,396,Rs,460428.3015727508,4510.8626843060965,1162.6977312443203,11.391067384611356
24,Pregnant,396,Vt,461617.4650906316,5698.199827864198,1165.7006694207869,14.38939350470757
24,Pregnant,396,pctO2,488179.37822230364,78684.53591921984,1232.7762076320798,198.69832302833294
25,Pregnant,396,all,492430.8753964471,82640.00411285242,1243.5123116071895,208.68687907285963
25,Pregnant,396,Rs,461791.6381014856,4524.219430302408,1166.1405002562767,11.424796541167696
25,Pregnant,396,Vt,463013.5553985422,5765.822318277039,1169.2261499963188,14.560157369386461
25,Pregnant,396,pctO2,489624.8861909322,78917.52225324577,1236.4264802801317,199.28667235668124
