Lifestage,age_yrs,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,pctbodywt,pctbodywt_sd
Juvenile/Adult,17,1251.7990977935074,147.87051004476044,920.9818208037752,1580.628182807877,1251.7990977935074,147.87051004476044,920.9818208037752,431.2551687115587,47.095816365635706,325.06490115907843,533.9392497944267,2.26179978331018,0.2361731497847752
Juvenile/Adult,18,1263.1652836199007,149.40519164545714,928.9182977130145,1595.5484324152762,1263.1652836199007,149.40519164545714,928.9182977130145,435.1702559142723,47.58922920087508,327.83669372093374,538.9066963880924,2.2612620267155834,0.23629338698906832
Juvenile/Adult,19,1272.805679097062,150.77642977056755,935.4490260804008,1608.538782502624,1272.805679097062,150.77642977056755,935.4490260804008,438.490407441418,48.02919775423889,330.1646033449842,543.2105143405257,2.26096352444956,0.23635763324595485
Juvenile/Adult,20,1280.9134798752314,151.93612720452785,940.910520756326,1619.5287934448015,1280.9134798752314,151.93612720452785,940.910520756326,441.2826961406998,48.40127239100153,332.1312171315841,546.8588452116289,2.2607388099120684,0.2363338632099455
Juvenile/Adult,21,1287.758684555282,152.9371903822008,945.444720193868,1628.50886551579,1287.758684555282,152.9371903822008,945.444720193868,443.6400041280694,48.72221326833285,333.796143516631,550.0646483054416,2.260627286646548,0.23629388998103448
Juvenile/Adult,22,1293.5315326642017,153.8120047927774,949.2024479928248,1636.1380255587262,1293.5315326642017,153.8120047927774,949.2024479928248,445.6278054931379,49.00232570732937,335.18288428475245,552.5941527595749,2.260586956050644,0.23621373360730533
Juvenile/Adult,23,1298.3997231878814,154.55266395324335,952.3404476002524,1642.4136975959673,1298.3997231878814,154.55266395324335,952.3404476002524,447.3040874536917,49.2394842939344,336.3713048844705,554.8551176164377,2.260607138800067,0.23611564623880144
Juvenile/Adult,24,1302.5003025451813,155.20029437210337,954.830053727056,1647.720923515975,1302.5003025451813,155.20029437210337,954.830053727056,448.7158879999766,49.44659740268777,337.3009727095422,556.6769013466983,2.260658707492478,0.23600052433097157
Juvenile/Adult,25,1305.9290278455,155.715385098454,956.8615300102488,1652.0959898571316,1305.9290278455,155.715385098454,956.8615300102488,449.896565695855,49.61163975910902,338.10611569428863,558.1600070706485,2.260697997016131,0.23585841826426532
Juvenile/Adult,26,1308.846719496246,156.18418212317903,958.7056607040658,1655.8266727861092,1308.846719496246,156.18418212317903,958.7056607040658,450.9010569460283,49.761506431707055,338.7030169422398,559.4160769132109,2.260811560881643,0.23576797254234283
Juvenile/Adult,27,1311.2806762010453,156.57254279474787,960.1227810397536,1658.9387632842186,1311.2806762010453,156.57254279474787,960.1227810397536,451.7390298022481,49.88570033288396,339.20478652576435,560.4639325837463,2.2608932336637215,0.2356632358751384
