age_yrs,Lifestage,Activity_stages,no_days,mean_bpm,se_bpm,MR_perday,MR_perday_sd,MR_quant025,MR_quant975,Es,Es_sd,Es_quant025,Es_quant975
15,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,608.1654722069,154.95295536741577,304.3598479657032,916.6009627281229,54734.892498621,13945.765983067418,27392.386316913282,82494.08664553105
15,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,875.7553883759068,223.14779450465534,437.952433807903,1317.8934929912748,79693.74034220753,20306.449299923635,39853.671476519165,119928.30786220601
16,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,765.7263096330423,194.96785550581342,383.0517119855061,1152.442245399746,22971.78928899127,5849.035665174402,11491.551359565181,34573.26736199239
16,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1284.444051541388,327.0241386932991,642.838905527929,1932.6114663424862,197804.38393737376,50361.71735876806,98997.19145130109,297622.16581674287
16,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,617.5230441651873,157.21768029575853,309.18857698538505,930.3789396329036,55577.073974866864,14149.591226618266,27826.971928684656,83734.10456696132
16,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,889.2302470324946,226.4092380591937,444.90060893709784,1337.7075064842343,80919.952479957,20603.240663386627,40485.9554132759,121731.38309006533
17,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,775.5513709075201,197.41738122916792,388.0301645701031,1167.091676420568,23266.541127225602,5922.521436875038,11640.904937103092,35012.750292617035
17,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1300.9247984662654,331.1327782306547,651.1937601943155,1957.1718183536354,200342.4189638049,50994.44784752083,100283.83906992458,301404.46002645994
17,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,625.4465042239094,159.19291805177883,313.20703894484075,942.2021995110543,56290.18538015185,14327.362624660094,28188.633505035665,84798.19795599488
17,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,900.6399916719809,229.25378308317863,450.6828836138548,1354.708496428569,81958.23924215026,20862.094260569254,41012.14240886079,123278.4731749998
18,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,783.8815876262854,199.59433889418622,392.12916793320784,1179.7765949370096,23516.44762878856,5987.830166825587,11763.875037996235,35393.297848110284
18,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1314.898064324026,334.7842478863818,658.0727284898752,1978.4508222058323,202494.30190590004,51556.7741745028,101343.20018744079,304681.4266196982
18,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,632.164440688895,160.94837246056872,316.51564469258307,952.4464999776168,56894.79966200054,14485.353521451185,28486.408022332478,85720.18499798552
18,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,910.3137884131822,231.78180886650838,455.4437445487087,1369.4363479620968,82838.55474559958,21092.144606852264,41445.38075393249,124618.7076645508
19,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,790.969450805578,201.58917493580836,395.44317382505176,1190.9460326767387,23729.083524167345,6047.67524807425,11863.295214751555,35728.38098030216
19,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1326.787382397256,338.1302591699063,663.6343218484537,1997.2046558552213,204325.25688917743,52072.05991216557,102199.68556466188,307569.5170017041
19,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,637.8804758954251,162.55697975212976,319.1906355638617,961.4760458825774,57409.24283058826,14630.128177691679,28727.15720074755,86532.84412943198
19,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,918.5448525338221,234.09834868782417,459.2929023539724,1382.414017533996,83587.58158057781,21302.949730592,41795.65411421148,125799.67559559362
20,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,796.9472339565718,203.31374488802925,398.1868114321059,1200.4773856527067,23908.417018697153,6099.412346640877,11945.604342963177,36014.3215695812
20,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1336.8146308587084,341.02294851066614,668.2387218917092,2013.2129657290072,205869.45315224107,52517.534070642585,102908.76317132323,310034.7967222671
20,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,642.7012825987845,163.94765162969335,321.40524238365657,969.1839503211789,57843.115433890605,14755.288646672403,28926.47181452909,87226.55552890612
20,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,925.4867919063912,236.1010386010515,462.47960211884094,1393.491087558016,84219.2980634816,21485.194512695685,42085.643792814524,126807.68896777945
21,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,802.0105736835071,204.85395266711927,400.4139915101814,1208.7603354836958,24060.317210505214,6145.618580013578,12012.419745305442,36262.81006451087
21,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1345.3079743026958,343.60640951078915,671.9764048050071,2027.1336035930146,207177.42804261515,52915.38706466153,103484.36633997108,312178.5749533242
21,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,646.7846326457201,165.1896621997715,323.2029838994142,975.8871486355532,58210.61693811481,14867.069597979436,29088.26855094728,87829.84337719978
21,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,931.3667973547709,237.8896372185808,465.0664707372892,1403.122283807591,84754.37855928416,21647.95698689085,42321.048837093316,127684.12782649079
22,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,806.2839991358404,206.19408158938543,402.2447900057096,1215.8571044104754,24188.519974075214,6185.822447681563,12067.34370017129,36475.71313231426
22,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1352.4763003367768,345.85427367945744,675.0488786533034,2039.0651734611347,208281.35025186365,53261.558146636446,103957.52731260871,314016.03671301476
22,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,650.2309531653269,166.27033376628984,324.68077743922504,981.6327959401912,58520.78578487942,14964.330038966085,29221.269969530254,88346.9516346172
