phase,age_yrs,MC_variable,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,quant975_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,GERcalf0to9.6mths,mass,mass_sd,pctbodywt,pctbodywt_sd
Lactating,43,P_cost,2313.763001033526,2.285789841432627,2312.211677657137,2317.7797482270494,5696.912263048934,5.628037172603026,5693.092618096983,5706.802237231308,1964.4525044996326,1.9407024733113876,1963.1353855506838,1967.8628404245887,179722.9447839482,20141.67401319583,0,9.75317395769895,0.009635259075486659
Lactating,43,Es,2312.380323167821,153.6788141046853,1950.9423953028913,2670.2721964855455,5693.5078545224515,378.38565153506545,4803.580855661739,6574.70381151483,1963.2785705249833,130.4778108741605,1656.4071916074968,2267.1392453499416,179722.9447839482,20141.67401319583,0,9.747345574348687,0.6478002314439103
Lactating,43,GERcalf,2313.76303464216,2.2857814222447512,2312.2739111757364,2317.717763975222,5696.912345799605,5.628016443006301,5693.245848525133,5706.649620544035,1964.4525330343465,1.940695325174625,1963.1882236293561,1967.810213980702,179722.9447839482,20141.67401319583,0,9.753174099368971,0.009635223586198118
Lactating,43,E_FnU,2317.7015852558684,98.51315781514467,2162.2819839699505,2487.628014924657,5706.609785545962,242.55760705745703,5323.9379941445,6125.000070360709,1967.7964777744698,83.64055415774381,1835.8406876360345,2112.068989779555,179722.9447839482,20141.67401319583,0,9.76977621862645,0.4152611848595437
Lactating,44,all,2316.4806872466543,183.37386305153498,1926.9768293245052,2711.474388078371,5703.603708935039,451.5003518831911,4744.573201614118,6676.151224428257,1967.173269825766,158.5301722079291,1635.5311616736358,2307.686543467281,179722.9447839482,20143.378719147026,251.7651507975561,9.761434660484866,0.7187620257217402
Lactating,44,P_cost,2313.9001098082226,2.2902877314879286,2312.35583719779,2317.9151054821464,5697.249850200078,5.639111809461877,5693.447565537415,5707.135511817385,1964.568913862096,1.9445213136075432,1963.2577812197987,1967.97776269565,179722.9447839482,20143.378719147026,0,9.752926464092644,0.00965340194770406
Lactating,44,Es,2312.5172837836685,153.70396239792547,1951.0111175798395,2670.4465766067287,5693.845076879116,378.4475712822871,4803.750062612546,6575.133167611524,1963.3948540962472,130.49916251113348,1656.4655388319125,2267.287299176388,179722.9447839482,20143.378719147026,0,9.74709794951116,0.647851407306805
Lactating,44,GERcalf,2313.900138175696,2.2903497298643996,2312.4083655956206,2317.8627874787226,5697.2499200460425,5.6392644609265945,5693.5769001640065,5707.00669522072,1964.568937946911,1.9445739520437175,1963.3023793668988,1967.9333431795587,179722.9447839482,20143.378719147026,0,9.752926583659551,0.009653663266507339
Lactating,44,E_FnU,2317.838921673762,98.51908738777611,2162.4077019736683,2487.772924523675,5706.947933196741,242.57220676149916,5324.247535111636,6125.356864583502,1967.9130804126696,83.645588538448,1835.9474259005644,2112.192022270173,179722.9447839482,20143.378719147026,0,9.769528279494121,0.41525103461883367
Lactating,45,all,2316.6015100093427,183.39425452874127,1927.0394929009208,2711.674142903386,5703.90119691376,451.550559469926,4744.727490924117,6676.643057736907,1967.2758776713297,158.54753794250655,1635.5853710482147,2307.8135628680766,179722.9447839482,20144.80321249139,252.21838223785969,9.761247843839955,0.7186836502554089
Lactating,45,P_cost,2314.0208430622515,2.2951584560563894,2312.4786780626278,2318.039399782348,5697.54711779193,5.651104433819517,5693.750022456722,5707.441547363262,1964.6714199282517,1.9486567013170741,1963.3620767092148,1968.083292194228,179722.9447839482,20144.80321249139,0,9.752745654571587,0.009673247639911186
Lactating,45,Es,2312.6378921657765,153.7275863133612,1951.066314167591,2670.5992791796984,5694.142037013215,378.5057377295364,4803.885966816001,6575.509149576905,1963.497254142488,130.5192199067367,1656.5124023503452,2267.416948129967,179722.9447839482,20144.80321249139,0,9.746917025850927,0.6479051620906593
Lactating,45,GERcalf,2314.0208687586032,2.2952467777640146,2312.5262603116794,2317.992008116667,5697.547181061099,5.6513218981916555,5693.867178750606,5707.3248603208685,1964.6714417452067,1.9487316890316326,1963.4024754312436,1968.0430552830583,179722.9447839482,20144.80321249139,0,9.752745762872248,0.00967361988338123
Lactating,45,E_FnU,2317.9598572315936,98.52432723331833,2162.517930536715,2487.900035543682,5707.2456988979575,242.58510822993506,5324.518938212249,6125.669835414276,1968.0157582406753,83.65003732066727,1836.0410131766375,2112.2999432463025,179722.9447839482,20144.80321249139,0,9.769347148649969,0.41524375511793304
Lactating,46,all,2316.6990449690325,183.4083648999495,1927.0970963082161,2711.8257282773384,5704.141346016188,451.5853018124807,4744.869321162247,6677.016288951767,1967.3587075983507,158.55958220488333,1635.6349098776664,2307.9207215746246,179722.9447839482,20145.993101237527,252.6048676707864,9.76107766413186,0.7186061314412521
Lactating,46,P_cost,2314.11830965646,2.2985375962797825,2312.581359780793,2318.1356015380775,5697.787098565906,5.659424501764494,5694.002843830019,5707.6784138710655,1964.754171919278,1.951525690263618,1963.44925649311,1968.1649703003673,179722.9447839482,20145.993101237527,0,9.75258038680946,0.009686917296441151
Lactating,46,Es,2312.7352539395356,153.745731642767,1951.1142080632135,2670.723087608284,5694.381759699865,378.55041488513217,4804.003890441358,6575.813988817034,1963.5799171378846,130.5346258224594,1656.5530656694336,2267.5220651093223,179722.9447839482,20145.993101237527,0,9.74675166059332,0.6479433660405697
Lactating,46,GERcalf,2314.118331468423,2.298651689402822,2312.6217492604515,2318.095373832258,5697.787152270992,5.659705420126809,5694.102290195901,5707.579365822283,1964.7541904382733,1.951622558664441,1963.4835483434142,1968.1308158007873,179722.9447839482,20145.993101237527,0,9.752580478733423,0.009687398128536927
Lactating,46,E_FnU,2318.0574854740826,98.52854594723681,2162.607213888498,2488.0029585039706,5707.486077679884,242.59549548353266,5324.738770330503,6125.923250770279,1968.0986474758222,83.65361913225264,1836.1168173553458,2112.387327851821,179722.9447839482,20145.993101237527,0,9.769181581596621,0.41523700872861896
Lactating,47,all,2316.7824049349306,183.42049919512962,1927.1450859055724,2711.958259019213,5704.3465936633165,451.6151786905292,4744.987480422964,6677.342604139742,1967.429499892969,158.56994211269424,1635.6762388747754,2308.0371830034446,179722.9447839482,20146.986760943953,252.91670985352096,9.760943731670773,0.7185454207095696
Lactating,47,P_cost,2314.201609903112,2.3019122821597704,2312.6702430582855,2318.217250978879,5697.992199173209,5.66773360229254,5694.221690891409,5707.879449889173,1964.824896266624,1.9543908973422561,1963.5247209970373,1968.234293065232,179722.9447839482,20146.986760943953,0,9.752450426361253,0.009700661049378114
Lactating,47,Es,2312.818465023916,153.76213323267126,1951.1520373357077,2670.8286440973943,5694.586640773171,378.5907986317032,4804.097033103885,6576.07388840787,1963.6505657838522,130.54855125231143,1656.585183828926,2267.611685657886,179722.9447839482,20146.986760943953,0,9.746621611875465,0.647980528310998
Lactating,47,GERcalf,2314.2016276386557,2.3020383226192047,2312.703084181218,2318.1845413960064,5697.992242841396,5.668043937204996,5694.3025518075365,5707.79891284899,1964.8249113246193,1.9544979093810102,1963.5526040715645,1968.2065216720655,179722.9447839482,20146.986760943953,0,9.752450501101936,0.009701192205922258
Lactating,47,E_FnU,2318.140923062665,98.53216151074868,2162.683260064201,2488.090652314269,5707.69151644841,242.60439766932237,5324.92601007404,6126.139169143536,1968.1694884304861,83.65668885149047,1836.181382784152,2112.4617824632883,179722.9447839482,20146.986760943953,0,9.769051381151902,0.4152317656438013
Lactating,48,all,2316.852754745834,183.43079594340273,1927.1853577058864,2712.0704962799505,5704.519807903607,451.6405311883782,4745.086637040544,6677.618953025426,1967.489243530613,158.57873262159708,1635.7109306414302,2308.1358421514333,179722.9447839482,20147.81650828499,253.1653516683812,9.760835153601926,0.7184981904450752
Lactating,48,P_cost,2314.2719090400124,2.3048131630167843,2312.745225867094,2318.2862323632926,5698.165288644736,5.674876107259808,5694.406312429064,5708.049294810459,1964.8845822912886,1.95685383008959,1963.588383596229,1968.2928602794686,179722.9447839482,20147.81650828499,0,9.75234503194581,0.00971248586309544
Lactating,48,Es,2312.8886891460083,153.77603865455936,1951.1837273716667,2670.9176712970448,5694.759545544373,378.62503635114194,4804.175059831079,6576.29308983222,1963.7101881187496,130.56035736246275,1656.6120895969239,2267.687272355938,179722.9447839482,20147.81650828499,0,9.74651614139553,0.6480124400019972
Lactating,48,GERcalf,2314.271923337761,2.3049373319036195,2312.771701182441,2318.259863090743,5698.165323848437,5.675181834014774,5694.471499550045,5707.984368786451,1964.8845944304956,1.9569592531085243,1963.6108619138088,1968.270471995328,179722.9447839482,20147.81650828499,0,9.752345092196542,0.009713009110956489
Lactating,48,E_FnU,2318.2113381036106,98.53521371818378,2162.7474892703876,2488.1646361823086,5707.864891297126,242.61191276830124,5325.08415425398,6126.321331104342,1968.229272861078,83.65928026493147,1836.2359152599931,2112.524596932532,179722.9447839482,20147.81650828499,0,9.7689457914793,0.41522752716419625
Lactating,49,all,2316.911870388701,183.4412370653314,1927.215120108465,2712.1688703115615,5704.66536154529,451.6662391608579,4745.159917577986,6677.861168078045,1967.5394471390023,158.5876174301539,1635.7367092558675,2308.222582461897,179722.9447839482,20148.510105147052,253.4132848263781,9.760745089701286,0.7184552566324564
Lactating,49,P_cost,2314.3309805678564,2.3071013659156803,2312.8040360159985,2318.3482084787083,5698.310733667075,5.68051008582601,5694.551113888131,5708.201891464382,1964.9347357472673,1.9587965813193151,1963.6383151338384,1968.3454798153043,179722.9447839482,20148.510105147052,0,9.752258233949087,0.009721793676540528
