V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
1023.4941227548165,545.5928044896821,544.2617330392741,619.3142828439691,588.0164303940187,579.5756592887701,519.8408782666024,493.91909902191946,450.82415024784495,400.4340460810481,494.70461412784607,129.83421122454092,133.57197203918713
993.4624264968768,533.951862210067,526.226312646367,599.8686961235635,574.3554437180346,570.4228369299353,518.074865818623,495.0909347037268,451.93152067579285,397.04492897396085,362.09995895290376,134.8756359621966,139.22267955558527
966.3980397648386,523.4611139994145,509.9728986468342,582.344448584822,562.0442434659903,562.1743676499609,516.4833458639991,496.14698607712944,452.92947634437223,393.9906767173261,242.59742938218642,139.41893806569715,144.3150636893315
923.7448015333057,506.92778601063424,484.35765946695824,554.7263867939198,542.641898884322,549.1748517648384,513.975124249856,497.81131386184825,454.5022458032863,389.1772017100684,54.26248155879239,146.57914268799595,152.34061681838284
1013.1390319046199,541.5789448045023,538.0430228110542,612.6093396600841,583.306048505558,576.4197167723237,519.2319476492867,494.32315428547736,451.2059775441703,399.2654602228131,448.9818138004248,131.57252166576473,135.5203664687806
981.8244510002252,529.4407283785146,519.2371709474869,592.3330824230802,569.0614960558823,566.875906998891,517.390495231632,495.5450480789368,452.36065227713516,395.7315678667892,310.7125942695011,136.82930441505778,141.412459148778
982.5938442165019,529.7389620162045,519.6992271025517,592.8312661547179,569.4114819636338,567.1103965652542,517.4357393625555,495.5150263839769,452.33228214153405,395.81839492074505,314.10984233907493,136.70014627626279,141.26769156745468
1008.2915433823205,539.6999522359667,535.1318821082928,609.4705806094153,581.1009956991384,574.9423376409541,518.9468913208566,494.51230310906703,451.3847208756588,398.7184146568143,427.57777659776275,132.38627019138676,136.4324607971639
1005.0094216181654,538.4277300583369,533.160816428591,607.3453998389509,579.6080057160225,573.9420385832736,518.7538863090344,494.6403713794116,451.5057438292524,398.34802282403507,413.08560069667965,132.9372403967227,137.0500186588024
998.9245917797043,536.0691169343086,529.5065951280897,603.4054596741853,576.8401041418024,572.087552372544,518.3960681842686,494.8778012155817,451.7301121288101,397.66134163486277,386.2180952585213,133.95870156923047,138.19492880336657
1007.6261294737891,539.4420232520445,534.7322703290388,609.0397236990307,580.7983084829257,574.7395380638818,518.9077616881027,494.53826753526846,451.4092569417653,398.6433218068687,424.6396481240472,132.49797331033278,136.55766382739512
1003.9632089513289,538.0221951474132,532.5325174106231,606.6679749287418,579.1320986217597,573.6231821787974,518.6923638236913,494.6811945591362,451.5443212362243,398.22995632468155,408.4660591052234,133.11286825250954,137.2468720675979
985.0231532877008,530.6806153425528,521.1581393793363,594.4042489063058,570.5165397188953,567.8507821296394,517.5785947651566,495.4202348334993,452.2427052823823,396.09254570000485,324.83643230365305,136.2923378480691,140.81059733906477
929.7768539673651,509.2659414584449,487.9801854989855,558.6321534779286,545.3857927763875,551.0132528965601,514.3298388019052,497.57594339805473,454.279823585508,389.85792689853315,80.89694889442217,145.56654126519516,151.20563717102323
999.6185290158006,536.3381021838161,529.9233364826837,603.8547854993772,577.1557662094683,572.2990450633201,518.4368751299216,494.85072381018927,451.70452431094236,397.7396533804904,389.282168200496,133.8422102355953,138.06435887743828
981.5247831223895,529.3245705551609,519.0572065489198,592.139046839618,568.925181448436,566.7845765982065,517.3728732765499,495.5567411084912,452.37170204746053,395.69774994580075,309.3894137449606,136.87960970049517,141.468844093376
978.8569331519286,528.2904535592354,517.4550394468954,590.4116083522258,567.7116148690807,565.9714904291827,517.2159904878886,495.6608405160723,452.47007471805864,395.39667950687544,297.6095488198189,137.32746202032013,141.970821728979
943.6585639726342,514.6467958572692,496.3167933804418,567.6205900090026,551.7003829944383,555.2440104476418,515.1461520883076,497.03427958496286,453.76795788810705,391.4244964472673,142.19150091295978,143.23621680997894,148.5936807103053
970.2282438024068,524.9457848530861,512.2731130408142,584.8245137842591,563.7865481921076,563.3417068789158,516.7085808274378,495.99753165666334,452.78824373973384,394.42292036802974,259.509657092839,138.77596121818897,143.59437969737428
994.2145539553296,534.2434032624126,526.6779999165676,600.3557002405646,574.6975756808888,570.6520643754748,518.1190946374909,495.0615867180013,451.9037871872024,397.1298075640434,365.4209702410808,134.74937622840207,139.08116066680032
1019.3959448390052,544.0042611000645,541.800587957033,616.660703992708,586.1522282050096,578.3266491051245,519.5998851121967,494.07900977324334,450.9752639576218,399.9715612196178,476.6091504316173,130.5221728816723,134.34307749235631
980.2758294060412,528.8404487793861,518.3071521686359,591.3303466718876,568.3570503668147,566.4039303835548,517.2994286135818,495.60547523649984,452.4177552040819,395.5568038477286,303.87467107230714,137.08927172250242,141.7038448769481
993.4042970976642,533.9293299836096,526.1914032578668,599.8310572148694,574.3290014904187,570.4051207123684,518.0714475221102,495.09320291074255,451.93366410376075,397.0383689934788,361.84328917068706,134.88539415196556,139.23361707407366
981.5869831950952,529.348680663692,519.0945605648262,592.1793215179919,568.953475366874,566.8035334433775,517.3765309488213,495.55431406394564,452.36940851996405,395.7047693072327,309.66405754536936,136.86916816623943,141.4571406446148
