age_yrs,Lifestage,Activity_stages,no_days,MC_variable,mean_bpm,se_bpm,Es_perday,Es_perday_sd,Es_perday_quant025,Es_perday_quant975,Es,Es_sd,Es_quant025,Es_quant975
24,Lactating,foraging lactating,119,all,1.0945622549624348,0.06906140254543988,1385.2351426035623,321.76268192813785,806.6220566882864,1702.1094559680682,164842.98196982392,38289.7591494484,95988.02474590608,202551.02526020014
24,Lactating,northbound lactating,100,all,0.5273685348721396,0.034572302537712415,667.5088948261313,155.73251205225614,387.8309153331776,820.9799780259684,66750.88948261313,15573.251205225613,38783.09153331776,82097.99780259684
24,Lactating,southbound post-weaning,72,all,0.7763540420021956,0.0699055206790525,983.9808439439712,240.39956180129448,559.1080012403604,1221.5515477168615,70846.62076396593,17308.7684496932,40255.77608930595,87951.71143561402
24,Lactating,calving grounds lactating,74,Rs,0.676486169347167,0.07123643251836845,881.6126850998114,92.83699415474729,770.1327928950689,1034.6993109961663,65239.33869738605,6869.937567451299,56989.82667423509,76567.7490137163
24,Lactating,foraging lactating,119,Rs,1.0940145598111248,0.06980977288579697,1425.7455027412427,90.97773777023227,1320.5048506784278,1577.9497021754632,169663.71482620787,10826.350794657637,157140.0772307329,187776.01455888012
24,Lactating,northbound lactating,100,Rs,0.5270914987048163,0.034952197647323456,686.9180369420999,45.55052595936003,634.0984177737771,763.0621272901833,68691.80369420999,4555.052595936005,63409.84177737771,76306.21272901834
24,Lactating,southbound post-weaning,72,Rs,0.7757297988570937,0.07079007090167676,1010.9493170308568,92.25528519860292,901.484545624083,1163.859686568525,72788.3508262217,6642.38053429941,64906.88728493398,83797.89743293381
24,Lactating,calving grounds lactating,74,Vt,0.676486169347167,0.07123643251836845,880.3933603358886,90.64983604247502,772.9892456754271,1031.8470464533777,65149.108664855754,6708.087867143154,57201.204179981614,76356.68143754997
24,Lactating,foraging lactating,119,Vt,1.0940145598111248,0.06980977288579697,1423.9268716177523,87.96066210012748,1324.2773983826607,1573.6008568324812,169447.29772251254,10467.31878991517,157589.01040753664,187258.50196306527
24,Lactating,northbound lactating,100,Vt,0.5270914987048163,0.034952197647323456,686.0376598356613,44.07809619732263,635.9261442428282,760.9591284837634,68603.76598356613,4407.809619732263,63592.61442428282,76095.91284837633
24,Lactating,southbound post-weaning,72,Vt,0.7757297988570937,0.07079007090167676,1009.5895462941565,89.85608848100479,904.4519097368075,1160.6518163693167,72690.44733317927,6469.638370632345,65120.53750105013,83566.93077859082
24,Lactating,calving grounds lactating,74,pctO2,0.6771544946631013,0.07027384208050737,858.6371480606972,211.4959858130376,488.4344055312989,1066.056063770549,63539.14895649159,15650.702950164785,36144.14600931612,78888.14871902062
24,Lactating,foraging lactating,119,pctO2,1.0945622549624348,0.06906140254543988,1384.9053623521904,314.4649335681328,817.5793186233104,1693.0538253224597,164803.73811991065,37421.3270946078,97291.93891617394,201473.40521337272
24,Lactating,northbound lactating,100,pctO2,0.5273685348721396,0.034572302537712415,667.3479887689232,152.23142814831758,393.1004886547267,816.6121473509619,66734.79887689231,15223.142814831757,39310.048865472665,81661.21473509619
24,Lactating,southbound post-weaning,72,pctO2,0.7763540420021956,0.0699055206790525,983.7152702686856,235.4819373517973,566.7238757615252,1215.0523088918026,70827.49945934536,16954.699489329403,40804.11905482982,87483.7662402098
25,Lactating,calving grounds lactating,74,all,0.6771544946631013,0.07027384208050737,861.4020440837576,216.39504002742478,483.1090458597738,1075.0355699953445,63743.75126219806,16013.232962029433,35750.069393623264,79552.6321796555
25,Lactating,foraging lactating,119,all,1.0945622549624348,0.06906140254543988,1389.2975154811768,322.8844169483577,808.7131619966915,1707.3140111927714,165326.40434226004,38423.24561685457,96236.86627760628,203170.3673319398
25,Lactating,northbound lactating,100,all,0.5273685348721396,0.034572302537712415,669.4664960402682,156.2746711921333,388.8363068094546,823.4902963059271,66946.64960402681,15627.467119213328,38883.630680945455,82349.0296305927
25,Lactating,southbound post-weaning,72,all,0.7763540420021956,0.0699055206790525,986.8672599587208,241.22456304055964,560.556931670882,1225.2867039262023,71054.4427170279,17368.168538920294,40360.0990803035,88220.64268268656
25,Lactating,calving grounds lactating,74,Rs,0.676486169347167,0.07123643251836845,884.1929572244876,93.10870611194206,772.3867897027274,1037.7276315213896,65430.27883461209,6890.044252283713,57156.622438001825,76791.84473258283
25,Lactating,foraging lactating,119,Rs,1.0940145598111248,0.06980977288579697,1429.9183231189227,91.24400812307782,1324.3696565215055,1582.5679882998325,170160.2804511518,10858.036966646263,157599.98912605917,188325.59060768006
25,Lactating,northbound lactating,100,Rs,0.5270914987048163,0.034952197647323456,688.9284838113601,45.683841591477986,635.9542740917901,765.2954299294483,68892.84838113602,4568.3841591477985,63595.427409179014,76529.54299294484
25,Lactating,southbound post-weaning,72,Rs,0.7757297988570937,0.07079007090167676,1013.908126932622,92.5252946310614,904.1229779915085,1167.266029010101,73001.38513914878,6661.821213436419,65096.85441538862,84043.15408872726
25,Lactating,calving grounds lactating,74,Vt,0.676486169347167,0.07123643251836845,882.9400530042305,90.86575801050853,775.2884697287325,1034.7968173620413,65337.56392231306,6724.06609277763,57371.3467599262,76574.96448479105
25,Lactating,foraging lactating,119,Vt,1.0940145598111248,0.06980977288579697,1428.0496080094376,88.15641426622138,1328.219470552065,1578.0993784227248,169937.90335312308,10490.613297680342,158058.11699569575,187793.82603230426
25,Lactating,northbound lactating,100,Vt,0.5270914987048163,0.034952197647323456,688.023861659239,44.176665389896584,637.8190799262758,763.1345158254142,68802.38616592389,4417.66653898966,63781.90799262758,76313.45158254141
25,Lactating,southbound post-weaning,72,Vt,0.7757297988570937,0.07079007090167676,1012.5109089436157,90.0660090091028,907.1429726461183,1163.9698160326047,72900.78544394033,6484.752648655402,65314.29403052051,83805.82675434754
