age_yrs,mean_mass,sd_mass,mean_lwr,mean_upr,quant025,quant975,female_mass,male_mass
8,15025.054546560483,201.70744399099652,13002.173411647467,17362.68437737255,14634.361842257524,15423.841054388793,15453.034060035985,14785.750502797415
8.5,15427.897655065077,200.74318022444584,13316.986245587626,17873.44342464384,15038.995596262705,15824.699719731034,15867.351908752036,15182.177529112856
9,15802.21989854219,198.44640997303577,13608.465882422706,18349.64565047331,15417.683754622805,16194.397286522442,16252.336492998025,15550.537942218109
9.5,16149.526580215583,196.9166778724975,13878.037328831515,18792.829006765412,15767.88790265265,16538.6132215795,16609.53599364181,15892.313070372491
10,16471.25524485279,191.76991430176912,14127.035898343134,19204.496330740498,16099.493263848457,16850.07298921341,16940.42890303672,16208.91756256802
10.5,16768.974495591367,187.85340516978792,14356.847858969792,19586.392366575164,16404.7281721953,17139.97776905369,17246.628505023844,16501.895038800085
11,17044.13686263004,183.20003250554979,14568.746211649113,19940.146771649823,16688.836170065668,17405.871581476917,17529.62870423857,16772.67489481893
11.5,17298.206601959606,179.2189152307441,14763.981791701395,20267.450946511053,16950.562368897656,17652.01495677334,17790.935465110397,17022.698065410197
12,17532.564883176387,174.52513608280748,14943.72193221647,20569.91850965836,17193.959699262694,17877.04013057368,18031.969299009088,17253.32372228204
12.5,17748.573388366574,170.38430943051515,15109.096970665674,20849.17163772951,17417.945968554966,18084.81862050289,18254.13067470443,17465.891860010062
13,17947.517365664335,166.80924759635985,15261.163990018646,21106.75621314152,17623.77996284476,18276.65934203012,18458.74144983969,17661.6672565814
13.5,18130.621282450604,164.0273072071571,15400.919879132,21344.16068078915,17812.245319242662,18454.235801925424,18647.06097000223,17841.854877285015
14,18299.027763530143,160.90657005983712,15529.288974347484,21562.783008908093,17986.67122999306,18616.446790752678,18820.264406967362,18007.5791483404
14.5,18453.850565152294,159.39128023228758,15647.161234636706,21764.003267480966,18144.412498252786,18768.256970973674,18979.497241651814,18159.936087201113
15,18596.10321716741,158.57142390932756,15755.344916401233,21949.07967198554,18288.240587860277,18908.87595258347,19125.80187368546,18299.923081227585
15.5,18726.745151836436,158.39082209848513,15854.599643770469,22119.21198014364,18419.222995794506,19039.151338202333,19260.165064171953,18428.48428180314
16,18846.663912909844,158.0134117934397,15945.625472232856,22275.51420470313,18539.863687008237,19158.31470426404,19383.499638004094,18546.49309676893
16.5,18956.7165334965,159.15826747272027,16029.092378224526,22419.071775178305,18647.69517652688,19270.6270889604,19496.68704035606,18654.792909267504
