age_yrs,Lifestage,Activity_stages,no_days,mean_bpm,se_bpm,Es_perday,Es_perday_sd,Es_perday_quant025,Es_perday_quant975,Es,Es_sd,Es_quant025,Es_quant975
29,Lactating,calving grounds lactating,74,0.6191317302061677,0.022050157577660528,857.0861823514362,323.97476868312344,378.7702874669241,1565.4397379043116,63424.37749400628,23974.132882551137,28029.001272552385,115842.54060491908
29,Lactating,foraging lactating,119,1.039250275250513,0.02199411192852006,1452.0956625871374,442.70899680386526,712.2768591568814,2289.5624975724945,172799.38384786935,52682.37061965996,84760.9462396689,272457.93721112685
29,Lactating,northbound lactating,100,0.4996218350051777,0.010999059726743027,697.7793126583595,215.16324686729143,340.23431956607976,1110.073229110277,69777.93126583594,21516.324686729145,34023.43195660798,111007.3229110277
29,Lactating,southbound post-weaning,72,0.7191739493024276,0.022034004788815145,999.116106864223,349.5596807305961,458.1178640788756,1737.3926222745085,71936.35969422405,25168.297012602918,32984.48621367904,125092.26880376461
30,Lactating,calving grounds lactating,74,0.6191317302061677,0.022050157577660528,858.1819336653678,324.48464851778533,379.1285941192765,1567.6103393000365,63505.463091237216,24011.863990316113,28055.515964826463,116003.1651082027
30,Lactating,foraging lactating,119,1.039250275250513,0.02199411192852006,1453.9547669101587,443.4694726171569,712.9489670106769,2292.7584546651115,173020.6172623089,52772.86724144167,84840.92707427056,272838.25610514823
30,Lactating,northbound lactating,100,0.4996218350051777,0.010999059726743027,698.6725903712902,215.530749303404,340.5553277148181,1111.6225641168662,69867.25903712901,21553.0749303404,34055.532771481805,111162.25641168663
30,Lactating,southbound post-weaning,72,0.7191739493024276,0.022034004788815145,1000.3940238670551,350.1248992378785,458.5495764727066,1739.8033622608973,72028.36971842797,25208.992745127252,33015.56950603487,125265.8420827846
31,Lactating,calving grounds lactating,74,0.6191317302061677,0.022050157577660528,859.1189155196535,324.9478319252787,379.3992712156161,1569.5144248161232,63574.79974845435,24046.139562470624,28075.54606995559,116144.06743639312
31,Lactating,foraging lactating,119,1.039250275250513,0.02199411192852006,1455.545248674952,444.1749715086151,713.4560536605028,2295.5675685820806,173209.8845923193,52856.82160952519,84901.27038559984,273172.5406612676
