phase,age_yrs,sex,MC_variable,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,quant975_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,Ts,mass,mass_sd,pctbodywt,pctbodywt_sd
2,19,N/A,all,1271.0266976432472,150.2992171052065,934.9993621022392,1605.609011034153,1271.0266976432472,150.2992171052065,934.9993621022392,1605.609011034153,437.87937243142574,47.87973307172671,329.8006156503248,542.4007181253311,365,19384.05190247113,170.46008434826197,2.257818809466851,0.23563968510455513
2,20,N/A,all,1278.9471575948728,151.42711072833313,940.3526732851541,1615.871874453475,1278.9471575948728,151.42711072833313,940.3526732851541,1615.871874453475,440.60718482775803,48.24172979719977,331.64770652963387,545.8629665801758,365,19509.14275833745,176.83519506045891,2.2572843733446737,0.23557347770976833
2,21,N/A,all,1285.592829824711,152.39335846017588,944.7732629182316,1624.5803106636781,1285.592829824711,152.39335846017588,944.7732629182316,1624.5803106636781,442.8958265529907,48.5516414040786,333.2585645206976,548.7605218426149,365,19614.03730118691,183.1847794376825,2.256841912073167,0.23548646021120395
2,22,N/A,all,1291.1704619410561,153.23400871284485,948.4080411085912,1632.3432992655023,1291.1704619410561,153.23400871284485,948.4080411085912,1632.3432992655023,444.8164472130969,48.82092341314403,334.59428072728,551.2637384329131,365,19701.948563584658,190.10177285531068,2.2564782052974715,0.2353603868163246
2,23,N/A,all,1295.8413527897571,153.9394934276907,951.42362514547,1638.9165301060957,1295.8413527897571,153.9394934276907,951.42362514547,1638.9165301060957,446.42483559065187,49.0469361566317,335.7324620927193,553.4292108498399,365,19775.57964463408,196.61034523805455,2.256171111111513,0.23521477874227312
2,24,N/A,all,1299.7585107715151,154.55426611836907,953.8973370485076,1644.2063935493295,1299.7585107715151,154.55426611836907,953.8973370485076,1644.2063935493295,447.7735187865785,49.24363059370999,336.6726416218788,555.3053827702947,365,19837.229951721227,203.25180907437615,2.2559190364573776,0.23505561337200398
2,25,N/A,all,1303.027664121272,155.04110037231698,956.0207336310349,1648.470967748983,1303.027664121272,155.04110037231698,956.0207336310349,1648.470967748983,448.8992840360338,49.399717667561966,337.4847666403922,556.7654893614547,365,19888.81952838144,208.96714734805883,2.2556951793378293,0.23487597360500004
2,26,N/A,all,1305.7722455802948,155.47887537691713,957.7223355696843,1652.0611690087853,1305.7722455802948,155.47887537691713,957.7223355696843,1652.0611690087853,449.84420591246726,49.53974706203853,338.1573839900706,558.0261314364221,365,19931.9803963008,214.17773339624313,2.2555214028381974,0.234743581276277
2,27,N/A,all,1308.0664216307819,155.84213987962374,959.1526723776385,1655.0002291640703,1308.0664216307819,155.84213987962374,959.1526723776385,1655.0002291640703,450.63407866728716,49.65598122880791,338.7202753444091,559.0642254949452,365,19968.08088356182,218.9406067398252,2.2553723532126257,0.23460542910305363
2,28,N/A,all,1309.9885058072302,156.158300444247,960.188656135602,1657.4684015579294,1309.9885058072302,156.158300444247,960.188656135602,1657.4684015579294,451.29576012495266,49.757021936560825,339.18712714779525,559.9340112453291,365,19998.27211330216,223.46885644167952,2.2552506132013534,0.23447514776050637
