age_yrs,mean_masschange,sd_masschange,sex,mean_P,sd_P,p_lipid,p_protein,mean_P_perday,sd_P_perday
66,0.0333502963450137,0.0154464439459782,Female,0.7170574245097582,0.345890879291252,0.47766688442226185,0.10739202587328929,0.0019645408890678305,9.476462446335671e-4
67,0.02785825167101247,0.01343976770563078,Female,0.5989524756580878,0.3001273857261716,0.47766688442226185,0.10739202587328929,0.0016409656867344873,8.222668102086893e-4
68,0.0232964372226088,0.01477705100743639,Female,0.5007304974199454,0.3254596750374699,0.47766688442226185,0.10739202587328929,0.001371864376493001,8.916703425684107e-4
69,0.01943745692160446,0.01000577894781984,Female,0.4178799745691334,0.22255764244928603,0.47766688442226185,0.10739202587328929,0.00114487664265516,6.097469656144822e-4
70,0.01625610540435082,0.01102181751168877,Female,0.34937784196065164,0.24217288596700343,0.47766688442226185,0.10739202587328929,9.57199567015484e-4,6.634873588137081e-4
71,0.01354945538425381,0.00590862212055762,Female,0.2913387007711479,0.1329053812829786,0.47766688442226185,0.10739202587328929,7.981882212908161e-4,3.6412433228213314e-4
72,0.01133857628182122,0.00760690191494912,Female,0.24369307844381652,0.16719972395681026,0.47766688442226185,0.10739202587328929,6.676522697090864e-4,4.5808143549811033e-4
73,0.00946203760647295,0.00541642251257894,Female,0.20339942063817099,0.11981471393807579,0.47766688442226185,0.10739202587328929,5.572586866799205e-4,3.282594902413035e-4
74,0.00790089145298734,0.00432170220929736,Female,0.16984857603127823,0.09581153857656019,0.47766688442226185,0.10739202587328929,4.6533856446925544e-4,2.624973659631786e-4
75,0.00660599389077688,0.0044828068661529,Female,0.14197652449775547,0.09849399685033972,0.47766688442226185,0.10739202587328929,3.889767794459054e-4,2.698465667132595e-4
