age_mth,age_yrs,mean_masschange,sd_masschange,sex,mean_P,sd_P,quant025,quant975,p_lipid,p_protein,mass,mass_sd,Ts,mean_masschange_perday,sd_masschange_perday,mean_P_perday,sd_P_perday
8,0.6657534246575343,452.2775930736421,4.625547453305787,Female,7553.838126565555,319.3010677638615,7008.890781612834,7008.890781612834,0.354452029815875,0.1017,5110.561964681329,90.42769490776566,31,14.5895997765691,0.1492112081711544,243.67219763114696,10.300034443995532
9,0.7479452054794521,395.8080490844034,4.995981274521447,Female,6652.901492262959,283.91339468284895,6162.252777021557,6162.252777021557,0.3516357841109857,0.1062,5495.465523588366,93.44846549614088,30,13.19360163614678,0.16653270915071489,221.763383075432,9.463779822761632
10,0.8328767123287671,315.21934238010715,119.68826415442072,Female,5297.393412223066,2024.3329929799004,1286.9939338117458,1286.9939338117458,0.3746192805329338,0.1062,5802.736507155783,211.64097097093057,31,10.168365883229264,3.8609117469167975,170.88365845880858,65.3010642896742
11,0.915068493150685,136.6431967319345,4.746990263913189,Female,2296.729452125156,123.20004411261522,2067.1421745038133,2067.1421745038133,0.3462560582812876,0.1062,5935.579938428002,207.14747396571585,30,4.554773224397817,0.1582330087971063,76.55764840417187,4.106668137087174
12,1,141.2050520238841,5.287820069485789,Female,2373.4030295146517,131.58909427084467,2126.875402031328,2126.875402031328,0.3472503490839154,0.1062,6072.85586571626,202.1109141391612,31,4.555001678189809,0.17057484095115447,76.56138804885974,4.244809492607892
0,0,982.7539633996712,28.82434519118064,Male,16979.549717581453,838.6501161624249,15429.447299488036,15429.447299488036,0.3662723107589409,0.126,983.0272202971554,26.76769846202571,0,Inf,Inf,Inf,Inf
1,0.08493150684931507,506.906318388767,11.662390435881894,Male,8585.116108593795,399.9433213532412,7858.177761277977,7858.177761277977,0.33984408653341236,0.1116,1498.2581301831517,37.14344381048241,31,16.351816722218288,0.37620614309296435,276.93922930947724,12.901397463007779
2,0.16164383561643836,497.3521101867779,17.0157201274228,Male,8253.525081405163,443.23008202716323,7428.36651958022,7428.36651958022,0.37972135027404874,0.0972,2003.817081302699,53.21868280353693,28,17.762575363813497,0.6077042902651,294.76875290732727,15.8296457866844
3,0.2465753424657534,567.3304709155233,18.43918825831347,Male,9414.819055663367,495.42565943222286,8495.36942667083,8495.36942667083,0.3629998069955036,0.0972,2580.5024290324272,70.55082406117141,31,18.300982932758817,0.594812524461725,303.7038405052699,15.981472884910415
4,0.3287671232876712,544.8780726449277,13.47548157652301,Male,9042.256491410362,435.64810233149154,8246.698588913723,8246.698588913723,0.37958027886226775,0.0972,3134.335451728464,82.727065086512,30,18.16260242149759,0.44918271921743363,301.4085497136787,14.521603411049718
5,0.4136986301369863,542.6406042290948,9.879562191144514,Male,9005.15394224971,406.57762957586226,8283.132369293668,8283.132369293668,0.34168449946213514,0.0972,3685.867864867222,90.88511206705834,31,17.50453562029338,0.3186955545530488,290.48883684676485,13.115407405672975
6,0.4958904109589041,495.0567809927256,5.196205878946059,Male,8215.527957429245,349.91796346788243,7618.700748415958,7618.700748415958,0.36955835538916293,0.0972,4188.997741269183,92.45918528229367,30,16.50189269975752,0.1732068626315353,273.8509319143082,11.663932115596081
7,0.5808219178082191,474.0612962532774,4.851655361057772,Male,7867.106305986394,334.56639723639006,7296.0200849850835,7296.0200849850835,0.33113001490943134,0.0972,4670.772788983104,91.41471067425825,31,15.292299879137982,0.1565050116470249,253.77762277375464,10.792464426980324
8,0.6657534246575343,432.7478974434924,4.4350523341800185,Male,7227.657490222897,305.5514916349923,6706.209702913472,6706.209702913472,0.3603066720580682,0.1017,5110.561964681329,90.42769490776566,31,13.959609594951367,0.1430662043283877,233.15024162009345,9.856499730161042
9,0.7479452054794521,378.71565625667824,4.8619345181176366,Male,6365.604988655516,272.06859845193406,5894.741830754407,5894.741830754407,0.3805753274029121,0.1062,5495.465523588366,93.44846549614088,30,12.623855208555941,0.16206448393725456,212.18683295518386,9.068953281731135
10,0.8328767123287671,301.57437538991013,119.68475739327693,Male,5068.041926552621,2023.2565702667935,1061.0225405127126,1061.0225405127126,0.3439226309861988,0.1062,5802.736507155783,211.64097097093057,31,9.728205657739036,3.8607986255895783,163.4852234371813,65.26634097634818
11,0.915068493150685,130.74402521391704,4.7304591976697745,Male,2197.573324633801,119.96779768383803,1973.5389200071083,1973.5389200071083,0.3655328884022311,0.1062,5935.579938428002,207.14747396571585,30,4.358134173797235,0.15768197325565916,73.25244415446004,3.9989265894612678
12,1,135.10904687998794,5.271982772094292,Male,2270.938417135221,128.3594592004528,2030.4819308892932,2030.4819308892932,0.3722536419751123,0.1062,6072.85586571626,202.1109141391612,31,4.358356350967353,0.17006396039013846,73.2560779721039,4.140627716143638
