age_yrs,Lifestage,no_days,MC_variable,Es,Es_sd,Es_perday,Es_sd_perday,Lifestage_f
29,Juvenile/Adult,365,all,383692.555261055,61428.047808462594,1051.212480167274,168.2960213930482,Juvenile/Adult
29,Juvenile/Adult,365,Rs,382537.94877668127,482.0663388244677,1048.0491747306337,1.3207296954095007,Juvenile/Adult
29,Juvenile/Adult,365,Vt,382534.5073691174,3135.052403831404,1048.03974621676,8.589184668031244,Juvenile/Adult
29,Juvenile/Adult,365,pctO2,382472.6600189503,58342.68376016923,1047.8703014217815,159.8429692059431,Juvenile/Adult
30,Juvenile/Adult,365,all,384196.744451041,61548.24371975488,1052.5938204138108,168.62532525960242,Juvenile/Adult
30,Juvenile/Adult,365,Rs,383024.0594554112,482.67892535583866,1049.3809848093456,1.3224080146735306,Juvenile/Adult
30,Juvenile/Adult,365,Vt,383020.56681308366,3180.724743219061,1049.3714159262563,8.714314364983728,Juvenile/Adult
30,Juvenile/Adult,365,pctO2,382958.68773189234,58416.82281406513,1049.2018841969652,160.0460899015483,Juvenile/Adult
8,Pregnant,396,all,336865.4565088095,54456.120582616044,850.670344719216,137.5154560167072,Pregnant
8,Pregnant,396,Rs,335601.0827022697,289.9489453261839,847.4774815713881,0.7321943063792522,Pregnant
8,Pregnant,396,Vt,335597.35441889695,3364.2998662779746,847.4680667143863,8.49570673302519,Pregnant
8,Pregnant,396,pctO2,335543.8348500083,51115.643507866014,847.3329162878998,129.0799078481465,Pregnant
9,Pregnant,396,all,356844.7588946941,57469.03970434408,901.1231285219548,145.12383763723253,Pregnant
9,Pregnant,396,Rs,355596.38784594275,307.2242699204929,897.9706763786434,0.775818863435588,Pregnant
9,Pregnant,396,Vt,355592.695084206,3334.0324497742504,897.9613512227425,8.419273863066289,Pregnant
9,Pregnant,396,pctO2,355535.7291337831,54161.14288863447,897.8174978125835,136.77056285008706,Pregnant
10,Pregnant,396,all,374113.69174640946,60045.69498028595,944.7315448141653,151.63054287951,Pregnant
10,Pregnant,396,Rs,372890.7440532564,322.16605825451484,941.6432930637789,0.8135506521578657,Pregnant
10,Pregnant,396,Vt,372887.1146883139,3278.718555269164,941.6341280007928,8.279592311285768,Pregnant
10,Pregnant,396,pctO2,372827.1352172737,56795.2587844266,941.4826646900851,143.42237066774393,Pregnant
11,Pregnant,396,all,388898.3517713256,62161.232095711115,982.0665448770848,156.97280832250283,Pregnant
11,Pregnant,396,Rs,387735.1895729957,334.9911996031167,979.129266598474,0.8459373727351431,Pregnant
11,Pregnant,396,Vt,387731.72171907726,3135.596622166269,979.1205093916093,7.918173288298659,Pregnant
11,Pregnant,396,pctO2,387669.048526398,59056.22701238697,978.9622437535304,149.1318863949166,Pregnant
12,Pregnant,396,all,401540.3082927893,63955.99957718348,1013.9906775070438,161.50504943733202,Pregnant
12,Pregnant,396,Rs,400434.26340248476,345.96280623153234,1011.1976348547595,0.8736434500796271,Pregnant
12,Pregnant,396,Vt,400430.9505650397,2998.3148060741473,1011.1892691036356,7.571502035540776,Pregnant
12,Pregnant,396,pctO2,400365.95610929275,60990.43212734516,1011.0251416901332,154.0162427458211,Pregnant
13,Pregnant,396,all,412300.1330657125,65460.12164120833,1041.1619521861428,165.3033374777988,Pregnant
13,Pregnant,396,Rs,411252.5885594785,355.30950423443727,1038.5166377764608,0.8972462228142355,Pregnant
13,Pregnant,396,Vt,411249.43554519373,2856.786244534021,1038.508675619176,7.214106678116215,Pregnant
13,Pregnant,396,pctO2,411182.4358435146,62638.179052427804,1038.3394844533198,158.17721982936314,Pregnant
14,Pregnant,396,all,421452.2056674887,66757.33716286962,1064.2732466350724,168.57913424967074,Pregnant
14,Pregnant,396,Rs,420446.9427205748,363.25314157463737,1061.7347038398354,0.917305913067266,Pregnant
14,Pregnant,396,Vt,420443.9045577611,2755.400378191998,1061.7270317115178,6.958081763111106,Pregnant
14,Pregnant,396,pctO2,420375.2216037451,64038.57778117863,1061.5535899084473,161.7135802555016,Pregnant
15,Pregnant,396,all,429218.2623387953,67869.82336467446,1083.8845008555436,171.38844284008704,Pregnant
15,Pregnant,396,Rs,428243.95993569284,369.98952305472676,1081.4241412517497,0.9343169774109261,Pregnant
15,Pregnant,396,Vt,428241.0053602795,2681.8490522215066,1081.416680202726,6.772346091468451,Pregnant
15,Pregnant,396,pctO2,428170.90877997887,65226.147109571524,1081.2396686363102,164.71249270093818,Pregnant
16,Pregnant,396,all,435822.45296921604,68861.77996329252,1100.5617499222628,173.89338374568817,Pregnant
16,Pregnant,396,Rs,434855.1726967801,375.70140619875366,1098.119122971667,0.9487409247443275,Pregnant
16,Pregnant,396,Vt,434852.2347493338,2667.8422575758627,1098.1117039124592,6.736975397918846,Pregnant
16,Pregnant,396,pctO2,434780.99378030817,66233.10570436902,1097.9318024755257,167.25531743527532,Pregnant
17,Pregnant,396,all,441414.5062685227,69726.93986380115,1114.6830966376835,176.07813096919483,Pregnant
17,Pregnant,396,Rs,440442.55942871416,380.52873535099917,1112.2286854260458,0.9609311498762605,Pregnant
17,Pregnant,396,Vt,440439.60562819656,2682.633549355105,1112.2212263338297,6.774327144836124,Pregnant
17,Pregnant,396,pctO2,440367.4273988387,67084.12461655619,1112.0389580778756,169.4043550923136,Pregnant
18,Pregnant,396,all,446155.7505032634,70495.83345644602,1126.6559356143014,178.0197814556718,Pregnant
18,Pregnant,396,Rs,445164.9685752648,384.6087506489705,1124.1539610486484,0.9712342188105315,Pregnant
18,Pregnant,396,Vt,445161.95936863875,2732.5212176658274,1124.146362042017,6.900306105216736,Pregnant
18,Pregnant,396,pctO2,445089.0309824901,67803.39816743301,1123.9621994507327,171.22070244301267,Pregnant
19,Pregnant,396,all,450189.8939895143,71200.40686921516,1136.8431666401877,179.79900724549285,Pregnant
19,Pregnant,396,Rs,449161.9044180081,388.0619794729312,1134.2472333788085,0.9799544936185132,Pregnant
19,Pregnant,396,Vt,449158.78832556005,2828.1607474096336,1134.239364458485,7.141820069216246,Pregnant
19,Pregnant,396,pctO2,449085.2850157745,68412.17435497211,1134.0537500398345,172.75801604790936,Pregnant
20,Pregnant,396,all,453592.2219012281,71809.5238990481,1145.4349037909801,181.33718156325278,Pregnant
20,Pregnant,396,Rs,452526.5908944723,390.9689644187143,1142.7439164001826,0.9872953646937229,Pregnant
