age_yrs,mean_masschange,sd_masschange,sex,mean_P,sd_P,p_lipid,p_protein,mean_P_perday,sd_P_perday,mean_mass,sd_mass,mean_lwr,mean_upr,quant025,quant975,female_mass,male_mass
64,0.04576268303046062,0.02748544795575037,Male,0.7710774918848121,0.46426472914805067,0.35998907659614787,0.10738798806596893,0.0021125410736570196,0.0012719581620494538,20151.791059631392,254.70837611551852,16931.290242044135,23984.90560153399,19658.25350672731,20655.17500589393,20725.802535372448,19830.833483424645
65,0.03818461125460079,0.01782876187423125,Male,0.6433732188235581,0.3016267662141597,0.35998907659614787,0.10738798806596893,0.0017626663529412552,8.263747019566018e-4,20151.829991736737,254.7259872660442,16931.319495783104,23984.956841262116,19658.2585155389,20655.248946890435,20725.842576435065,19830.871795458348
66,0.031895222648344664,0.01544644394597363,Male,0.5374051149363731,0.26124974883697605,0.35998907659614787,0.10738798806596893,0.0014723427806475975,7.157527365396604e-4,20151.862515359106,254.74124517634323,16931.34393346648,23984.99964775961,19658.261648972817,20655.311801643376,20725.87602647297,19830.90380107698
67,0.026642275783502724,0.01343976770563078,Male,0.44889966182221874,0.2272445211361169,0.35998907659614787,0.10738798806596893,0.001229862087184161,6.225877291400463e-4,20151.889686442973,254.75452090315832,16931.36434867288,23985.03541055581,19658.26324818623,20655.365363670593,20725.903971508593,19830.930539407
68,0.022276151548992238,0.01477705100743939,Male,0.37534645246595233,0.24949349906058474,0.35998907659614787,0.10738798806596893,0.0010283464451121983,6.835438330426979e-4,20151.91243045015,254.76911759088424,16931.38143315681,23985.06535379363,19658.25787694849,20655.41712566281,20725.92736336494,19830.95292117037
69,0.01858842884997187,0.01000577894781683,Male,0.3132013775676187,0.16911101021208086,0.35998907659614787,0.10738798806596893,8.580859659386813e-4,4.633178361974818e-4,20151.931392397393,254.77900124295272,16931.39567957708,23985.09031298086,19658.257801092815,20655.455735629344,20725.946865431684,19830.971581110683
70,0.015543468391670071,0.01102181751168877,Male,0.26190523021385964,0.18604382268355799,0.35998907659614787,0.10738798806596893,7.175485759283826e-4,5.097091032426246e-4,20151.947267481355,254.78988853218985,16931.40760348488,23985.11121454346,19658.25270593139,20655.493254658533,20725.963192707728,19830.987203352182
71,0.012958647927273716,0.00590862212055415,Male,0.21834000606542414,0.09998121553819166,0.35998907659614787,0.10738798806596893,5.981917974395182e-4,2.739211384607991e-4,20151.960478774567,254.79572503582924,16931.41753066818,23985.12860205135,19658.254674713564,20655.518068225545,20725.976780316567,19831.000204229127
72,0.01084159271305929,0.00760690191495259,Male,0.18267901410463064,0.12840628524835943,0.35998907659614787,0.10738798806596893,5.004904496017277e-4,3.517980417763272e-4,20151.97155108258,254.8032390906808,16931.425847269307,23985.1431799848,19658.251274029353,20655.54407847711,20725.98816801252,19831.01110018849
73,0.009048207288925025,0.00541642251257063,Male,0.15245754105689885,0.09149185883612894,0.35998907659614787,0.10738798806596893,4.176918933065722e-4,2.5066262694829847e-4,20151.98078507086,254.80858940232065,16931.43278423351,23985.155335622097,19658.25020246302,20655.56394868657,20725.997665025327,19831.02018710704
74,0.007555533955081774,0.00432170220931361,Male,0.1273060821333174,0.0730173420546427,0.35998907659614787,0.10738798806596893,3.4878378666662304e-4,2.0004751247847317e-4,20151.98849427661,254.81285835541297,16931.438575965854,23985.16548361413,19658.249688934455,20655.580144363244,20726.005593823094,19831.02777352827
75,0.006316395819020651,0.0044828068661471,Male,0.10643038400719523,0.07566773566769609,0.35998907659614787,0.10738798806596893,2.915900931703979e-4,2.07308864843003e-4,20151.994945459108,254.8172864467776,16931.443421495642,23985.17397742652,19658.24761108643,20655.59539861014,20726.012228763593,19831.03412196278
0,982.8335472224563,27.09845226208568,N/A,16993.645987411383,821.4277235178366,0.35998907659614787,0.126,46.55793421208598,2.2504869137474977,983.0272202971554,26.76769846202571,769.3864361638815,1256.0033646802483,931.524393281086,1036.2953702858442,1011.0281510207157,967.3705457594826
1,5088.559979763895,177.50983582874184,N/A,84495.77876711107,4572.544650013198,0.35998907659614787,0.0972,231.495284293455,12.527519589077256,6072.85586571626,202.1109141391612,5535.553912168357,6662.310525657563,5685.349046098638,6476.221233545529,6245.83746060911,5976.133490342998
2,1602.5564220088702,40.35850696456996,N/A,26999.049649960158,1292.945359053733,0.35998907659614787,0.10738798806596893,73.96999904098674,3.542316052202008,7675.179520625737,162.24500835395656,6967.941305158875,8454.206441098631,7362.087535640815,7997.123054180207,7893.802327411253,7552.936936400731
3,1535.69515836556,14.436330424535244,N/A,25872.521338599705,1079.6320682773437,0.35998907659614787,0.10738798806596893,70.88362010575261,2.9578960774721748,9210.791417666447,147.98488250009774,8289.283267252153,10234.75164704994,8924.518955918167,9503.733288496986,9473.155192615914,9064.091142757276
4,1428.4871723583592,8.591593041237573,N/A,24066.325212488697,988.7082928552503,0.35998907659614787,0.10738798806596893,65.93513756846218,2.708789843439042,10639.339994278627,156.47160969809548,9483.196268202955,11936.44895185935,10336.4523389406,10948.881589877052,10942.395104018258,10469.887226189752
5,1299.6387245169637,19.059814523863867,N/A,21895.60008882639,946.8582757861557,0.35998907659614787,0.10738798806596893,59.987945448839426,2.5941322624278236,11939.114939596924,175.29878709489262,10546.18357380764,13516.0433967942,11599.778909339151,12285.897610860018,12279.19334579123,11748.960655953964
6,1162.5740923886356,17.279608131531578,N/A,19586.411173970115,848.3380586469601,0.35998907659614787,0.10738798806596893,53.661400476630455,2.32421385930674,13101.81252962314,192.3674866476694,11481.57580621025,14950.716130207553,12729.435588346489,13482.361106317529,13475.009667423814,12893.139961463834
7,1026.3459103822272,5.748896825431309,N/A,17291.28048100838,709.3268855547615,0.35998907659614787,0.10738798806596893,47.37337118084488,1.9433613302870176,14128.199527463556,198.0462145404704,12296.878890071774,16232.277999184602,13744.707541683503,14519.85811750744,14530.632672801645,13903.179693589647
8,896.828528901447,3.70646925907265,N/A,15109.242211488552,617.0706921491981,0.35998907659614787,0.10738798806596893,41.395184141064526,1.6906046360252003,15025.054546560485,201.70744399099652,13002.173411647467,17362.68437737255,14634.361842257524,15423.841054388791,15453.034060035983,14785.750502797417
