ID,sex,age_yrs,length_m,Details,source
6,Female,0,4.75,,Rice and Wolman (1971)
17,Female,1.21,9.43,Calf (JJ),Sumich (2001); Sumich et al. (2013)
19,Female,1.11,8.2,Calf (Gigi II),Sumich (1986)- cited Wahrenbrock pers. comm; Sumich et al. 2013- cited Wahrenbrock et al. 1974)
37,Unknown,0,4.877,Vega expedition @ Magdalena Bay,Risting (1928)
38,Unknown,0,4.572,Vega expedition @ Magdalena Bay,Risting (1928)
39,Unknown,0,5.182,Vega expedition @ Magdalena Bay,Risting (1928)
40,Unknown,0,4.877,Vega expedition @ Magdalena Bay,Risting (1928)
41,Unknown,0,5.182,Vega expedition @ Magdalena Bay,Risting (1928)
42,Male,1,9.144,Vega expedition @ Magdalena Bay (~1 yr old),Risting (1928)
43,Male,1,9.144,Vega expedition @ Magdalena Bay (~1 yr old),Risting (1928)
44,Male,1,9.144,Vega expedition @ Magdalena Bay (~1 yr old),Risting (1928)
45,Female,1,9.144,Vega expedition @ Magdalena Bay (~1 yr old),Risting (1928)
182,Female,55,13.8,56 ear plug growth layers,Zimushko (1970); Yablokov and Bogoslovskaya (1984)
183,Male,41,12.9,42 ear plug growth layers,Zimushko (1970); Yablokov and Bogoslovskaya (1984)
188,Female,78,13.98,35 corpora / 41 ear plug growth layers,Rice and Wolman (1971)
189,Female,52,14.2,22 corpora / 43 laminae in ear plugs,Rice and Wolman (1971)
191,Male,20,12.75,21 growth layers in ear plug,Rice and Wolman (1971)
193,Male,22,13.23,23 growth layers in ear plug,Rice and Wolman (1971)
194,Male,0,4.86,Near term foetuses,Rice and Wolman (1971)
195,Female,0,4.58,Near term foetuses,Rice and Wolman (1971)
196,Male,0,4.53,Near term foetuses,Rice and Wolman (1971)
197,Male,0,4.65,Near term foetuses,Rice and Wolman (1971)
198,Male,0,4.67,Near term foetuses,Rice and Wolman (1971)
199,Female,0,4.5,Near term foetuses,Rice and Wolman (1971)
200,Male,0,4.15,Near term foetuses,Rice and Wolman (1971)
201,Male,0,4.07,Near term foetuses,Rice and Wolman (1971)
202,Male,0,4.54,Near term foetuses,Rice and Wolman (1971)
203,Male,0,4.84,Near term foetuses,Rice and Wolman (1971)
204,Female,0,4.55,Near term foetuses,Rice and Wolman (1971)
205,Female,0,4.78,Near term foetuses,Rice and Wolman (1971)
206,Female,0,5.12,Near term foetuses,Rice and Wolman (1971)
207,Male,0,3.85,Near term foetuses,Rice and Wolman (1971)
208,Male,0,4.62,Near term foetuses,Rice and Wolman (1971)
209,Male,0,4.63,Near term foetuses,Rice and Wolman (1971)
210,Female,0,5.08,Near term foetuses,Rice and Wolman (1971)
211,Male,0,4.62,Near term foetuses,Rice and Wolman (1971)
212,Male,0,4.79,Near term foetuses,Rice and Wolman (1971)
213,Male,0,4.22,Near term foetuses,Rice and Wolman (1971)
214,Male,0,4.89,Near term foetuses,Rice and Wolman (1971)
215,Female,0,3.6,Near term foetuses,Rice and Wolman (1971)
216,Male,0,4.52,Near term foetuses,Rice and Wolman (1971)
217,Male,0,4.81,Near term foetuses,Rice and Wolman (1971)
218,Female,0,4.32,Near term foetuses,Rice and Wolman (1971)
219,Male,0,4.7,Near term foetuses,Rice and Wolman (1971)
220,Female,0,5.12,Near term foetuses,Rice and Wolman (1971)
221,Female,0,5.12,Near term foetuses,Rice and Wolman (1971)
222,Female,0,5.24,Near term foetuses,Rice and Wolman (1971)
223,Male,0,4.72,Near term foetuses,Rice and Wolman (1971)
224,Female,0,4.58,Near term foetuses,Rice and Wolman (1971)
225,Male,0,4.77,Near term foetuses,Rice and Wolman (1971)
226,Male,0,5.31,Near term foetuses,Rice and Wolman (1971)
227,Female,0,4.42,Near term foetuses,Rice and Wolman (1971)
228,Female,0,4.44,Near term foetuses,Rice and Wolman (1971)
229,Female,0,4.93,Near term foetuses,Rice and Wolman (1971)
230,Female,0,4.54,Near term foetuses,Rice and Wolman (1971)
231,Female,0,4.92,Near term foetuses,Rice and Wolman (1971)
232,Male,0,4.72,Near term foetuses,Rice and Wolman (1971)
233,Female,0,4.24,Near term foetuses,Rice and Wolman (1971)
234,Male,0,4.52,Near term foetuses,Rice and Wolman (1971)
235,Male,0,5.24,Near term foetuses,Rice and Wolman (1971)
236,Female,0,4.43,Near term foetuses,Rice and Wolman (1971)
237,Female,0,4.11,Near term foetuses,Rice and Wolman (1971)
238,Female,0,4.73,Near term foetuses,Rice and Wolman (1971)
239,Female,0,4.33,Near term foetuses,Rice and Wolman (1971)
240,Female,0,5.11,Near term foetuses,Rice and Wolman (1971)
241,Male,0,4.59,Near term foetuses,Rice and Wolman (1971)
242,Male,0,4.41,Near term foetuses,Rice and Wolman (1971)
243,Male,0,4.48,Near term foetuses,Rice and Wolman (1971)
244,Male,0,4.26,Near term foetuses,Rice and Wolman (1971)
245,Male,0,4.53,Near term foetuses,Rice and Wolman (1971)
246,Female,0,4.8,Near term foetuses,Rice and Wolman (1971)
247,Male,0,4.39,Near term foetuses,Rice and Wolman (1971)
248,Female,0,4.75,Near term foetuses,Rice and Wolman (1971)
249,Female,3,9.2,From Chukotka (1980),Blokhin (1982)
250,Male,4,11.6,From Chukotka (1980),Blokhin (1982)
251,Female,5,10.5,From Chukotka (1980),Blokhin (1982)
252,Male,5,10.4,From Chukotka (1980),Blokhin (1982)
253,Female,6,10.8,From Chukotka (1980),Blokhin (1982)
254,Male,6,11.2,From Chukotka (1980),Blokhin (1982)
255,Female,7,11.6,From Chukotka (1980),Blokhin (1982)
256,Female,7,11.8,From Chukotka (1980),Blokhin (1982)
257,Female,9,12,From Chukotka (1980),Blokhin (1982)
258,Female,9,12,From Chukotka (1980),Blokhin (1982)
259,Female,9,13,From Chukotka (1980),Blokhin (1982)
260,Female,9,13.2,From Chukotka (1980),Blokhin (1982)
261,Female,12,12.5,From Chukotka (1980),Blokhin (1982)
262,Male,12,11.5,From Chukotka (1980),Blokhin (1982)
263,Male,12,12.1,From Chukotka (1980),Blokhin (1982)
264,Female,14,12.2,From Chukotka (1980),Blokhin (1982)
265,Female,14,12.5,From Chukotka (1980),Blokhin (1982)
266,Male,14,12,From Chukotka (1980),Blokhin (1982)
267,Male,15,12.3,From Chukotka (1980),Blokhin (1982)
268,Female,16,12.2,From Chukotka (1980),Blokhin (1982)
269,Male,17,12.1,From Chukotka (1980),Blokhin (1982)
270,Female,23,12.5,From Chukotka (1980),Blokhin (1982)
271,Female,24,13.1,From Chukotka (1980),Blokhin (1982)
272,Male,25,11.4,From Chukotka (1980),Blokhin (1982)
273,Female,26,12.9,From Chukotka (1980),Blokhin (1982)
274,Female,27,13.9,From Chukotka (1980),Blokhin (1982)
275,Female,29,13.2,From Chukotka (1980),Blokhin (1982)
276,Male,29,12,From Chukotka (1980),Blokhin (1982)
277,Female,31,13.9,From Chukotka (1980),Blokhin (1982)
278,Male,32,12.4,From Chukotka (1980),Blokhin (1982)
279,Male,35,11.6,From Chukotka (1980),Blokhin (1982)
280,Male,44,13,From Chukotka (1980),Blokhin (1982)
281,Male,44,13,From Chukotka (1980),Blokhin (1982)
282,Male,45,11.9,From Chukotka (1980),Blokhin (1982)
283,Female,48,13,From Chukotka (1980),Blokhin (1982)
334,Female,1.5,9.1,From Chukotka (1983),Blokhin (1985)
335,Female,1.5,10,From Chukotka (1983),Blokhin (1985)
336,Male,1.5,9.7,From Chukotka (1983),Blokhin (1985)
337,Female,31,12.5,From Chukotka (1983),Blokhin (1985)
338,Male,36,12.9,From Chukotka (1983),Blokhin (1985)
339,Female,33,13,From Chukotka (1984),Blokhin (1986)
340,Female,0.83,8.6,From Chukotka (1984),Blokhin (1986)
341,Male,15,12,From Chukotka (1984),Blokhin (1986)
342,Male,1.5,9.7,From Chukotka (1984),Blokhin (1986)
364,Female,33,13.9,From Chukotka (1985) - 33 ear plug laminae (13 CAs),Blokhin (1987)
368,Female,46,12.7,From Chukotka (1990),Blokhin (1987)
369,Male,3.5,10.2,From Chukotka (1990),Blokhin (1987)
370,Male,4.07,10.612,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
371,Male,4.92,9.83,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
372,Male,6.06,10.689,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
373,Male,6.06,11.197,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
374,Male,6.06,11.497,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
375,Male,7.04,11.665,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
376,Male,8.05,11.534,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
377,Male,9.08,12.433,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
378,Male,10.75,12.249,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
379,Male,13.88,12.703,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
380,Male,15.11,12.194,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
381,Male,18.09,12.622,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
382,Male,18.11,12.218,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
383,Male,22.1,12.75,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
384,Male,23.03,13.427,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
385,Male,23.16,13.01,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
386,Male,25.2,12.852,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
387,Male,27.98,13.554,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
388,Male,28.2,12.968,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
389,Male,27.95,12.694,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
390,Male,28.05,12.486,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
391,Male,29.11,12.837,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
392,Male,31.05,13.695,Soviet data - obtained from graph WebPlotDigitizer,Zimushko and Ivashin (1980)
393,Female,6.07,12.647,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
394,Female,8.06,12.833,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
395,Female,9.07,13.032,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
396,Female,10.03,13.543,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
397,Female,9.03,11.646,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
398,Female,10.04,11.876,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
399,Female,13.99,11.449,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
400,Female,12,12.312,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
401,Female,12.04,12.243,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
402,Female,11.06,12.425,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
403,Female,11.03,12.575,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
404,Female,11.03,12.681,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
405,Female,10.05,12.831,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
406,Female,12.07,12.824,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
407,Female,12.07,12.699,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
408,Female,12.07,12.543,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
409,Female,13.02,12.686,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
410,Female,13.05,12.948,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
411,Female,13.06,13.304,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
412,Female,15,12.154,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
413,Female,16.02,12.172,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
414,Female,16.02,12.565,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
415,Female,17,12.833,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
416,Female,16.06,13.008,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
417,Female,17.07,13.089,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
418,Female,18.01,12.763,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
419,Female,18.99,12.638,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
420,Female,19.02,12.069,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
421,Female,20,12.393,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
422,Female,20.03,12.643,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
423,Female,19.72,12.743,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
424,Female,20.29,12.755,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
425,Female,21.01,12.861,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
426,Female,19.03,13.056,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
427,Female,20.04,13.536,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
428,Female,22,13.304,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
429,Female,24.01,12.553,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
430,Female,23.98,12.834,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
431,Female,24.02,12.921,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
432,Female,23.96,13.383,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
433,Female,25.98,13.357,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
434,Female,26.96,13.481,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
435,Female,27.94,13.193,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
436,Female,27.97,13.068,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
437,Female,29.96,13.098,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
438,Female,29.99,13.254,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
439,Female,39.93,12.085,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
440,Female,40.9,13.958,Rice and Wolman Fig12 - used for von Bertalanffy,Rice and Wolman (1971)
