Lifestage,age_yrs,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,pctbodywt,pctbodywt_sd
Pregnant,8,1751.6230458418377,189.6089570176023,1386.6279835990226,2126.5665614264026,4533.612589237698,490.75259463379433,3588.919486962176,1563.6636369100036,171.07501006797847,1235.9168749669177,1906.1258913245151,9.856882043749083,0.9666533291294336
Pregnant,9,1803.4682434914405,199.18842470398548,1418.8867555242664,2197.275585298156,4667.800159624904,515.5465109985506,3672.4127790039834,1609.9463083682322,179.65077135723425,1265.2960215715937,1969.691738156532,9.661611822545538,0.9750055535991452
Pregnant,10,1847.8687937700608,207.5202850833801,1446.5504993308596,2258.8118518609067,4782.719230934275,537.1113260981602,3744.0130570916367,1649.5830994585149,187.1092656814155,1290.8067003275926,2024.0658712586169,9.506929581038747,0.9838022613177928
Pregnant,11,1885.5561327692835,214.39339620913103,1470.2947987162547,2310.4755337430033,4880.262931873441,554.9005548942215,3805.4688907950126,1683.226903007301,193.26435609091948,1312.6845728165754,2069.3782303598277,9.382422503026495,0.9907784679321948
Pregnant,12,1917.588659809801,220.1621335167148,1490.1490395913113,2354.352177096795,4963.170648919485,569.831404396203,3856.856337765747,1711.82259341375,198.4314716314287,1330.4104239908788,2108.12052315957,9.28215789380996,0.9964767090544414
Pregnant,13,1944.714143410214,224.9457168693814,1508.0882774762854,2390.1990070997226,5033.377782944082,582.2124436619283,3903.2873064092096,1736.037707026527,202.717356051882,1347.0955796289002,2140.8702605223707,9.20078682507158,1.000621484261845
Pregnant,14,1967.7092566955064,229.01078132836136,1523.1393098408896,2422.1128079219193,5092.8945467413105,592.7337869675235,3942.2429195881855,1756.565611072721,206.35950398891865,1360.9066212085122,2168.765733010413,9.134741472610177,1.0037251023777656
Pregnant,15,1987.189906096636,232.40183471449816,1535.9164900214455,2448.466898069045,5143.315051073647,601.5106310257598,3975.3132682908017,1773.9561173087025,209.3983609858173,1371.8692320800303,2192.1126461597864,9.08093623434389,1.004906418959017
Pregnant,16,2003.719510743564,235.51342136626403,1546.281245105599,2471.850487655268,5186.097557218636,609.5641494185658,4002.139693214491,1788.7122515185308,212.18451897231537,1381.128175595132,2212.4643561119956,9.037227369262368,1.0063873319651984
Pregnant,17,2017.7186133271712,238.33072548897016,1554.4770289339551,2491.6731820149853,5222.330528611502,616.8559953832169,4023.352310182001,1801.2094178562554,214.70557652556047,1387.697030454401,2230.02510539893,9.001513446835034,1.0072324541899187
Pregnant,18,2029.5724993228805,240.8618911991814,1561.3438121274894,2508.155603534869,5253.011174718044,623.4072478096459,4041.125160800561,1811.791551806887,216.96940855126888,1393.8195043875255,2245.1561504420933,8.972348025253813,1.0078500406566375
Pregnant,19,2039.6811343068373,243.21156307806265,1566.9841610985254,2522.7915188456423,5279.174700558873,629.4887514961621,4055.723711078537,1820.815712117672,219.06945041143095,1398.6985539291743,2258.197599211143,8.948803445317667,1.0083380333332164
Pregnant,20,2048.191348464465,245.1762513134985,1571.9545383750128,2535.551348742499,5301.201137202145,634.573826929055,4068.5882169706206,1828.4129306729667,220.82555781452672,1402.8320743528727,2269.255764762706,8.92937427234073,1.0081420048560163
Pregnant,21,2055.4040322698647,246.89553555463763,1576.0205668795024,2546.4964862575107,5319.869259992591,639.0237390825915,4079.1120554528297,1834.851831363357,222.36195428236252,1406.4113399382284,2278.825465767878,8.91355717312433,1.0078929971340846
Pregnant,22,2061.5045215728383,248.42883087397985,1579.2975776005649,2555.900651740906,5335.658761717935,642.9922681444184,4087.593730260286,1840.2978700208243,223.7316166084179,1409.4198522277068,2287.0640624508455,8.900599697438032,1.0074547942428718
Pregnant,23,2066.670015775898,249.7360353879559,1581.5497374898266,2563.479926330505,5349.028276125854,646.3756210041212,4093.422849973669,1844.909220011772,224.8992810353452,1411.935224599794,2294.0557706255377,8.890045131870075,1.0069112206295567
Pregnant,24,2071.0343218700064,250.90044973649825,1583.6312286353752,2569.984056423232,5360.324127192957,649.3893993179954,4098.81023882097,1848.805343364289,225.93901878306536,1413.451997533553,2300.072575730699,8.881385004853076,1.0062918097037583
Pregnant,25,2074.679338680514,251.80874204685313,1585.3444039538206,2575.3002814365964,5369.758288349565,651.7402735330315,4103.244339645184,1852.0593270326224,226.7504744557551,1414.9015437600312,2305.0938524718767,8.874145146452587,1.0054407164372412
Pregnant,26,2077.8087372283735,252.6707463356119,1586.6214176519295,2580.0889358009745,5377.857908120495,653.9713434568779,4106.5495515697,1854.853023240851,227.5200346883997,1416.0530116852592,2309.4406190614914,8.868436420418657,1.0049938932412623
